Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit,Category,Values
Cholera1,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera1,Compartment,Infectious,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera1,Compartment,Recovered humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,,,
Cholera1,Compartment,Chollerae bacterial concentration,,0,False,0.0,None,Model file,Certain,,,,,,,,,,,
Cholera1,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.5,False,,,,,,
Cholera1,Flow,,,,,,,Model file,Certain,,Recovered humans,RateFlow,//@parameters.4,False,,,,,,
Cholera1,Flow,,,,,,,Model file,Certain,,Chollerae bacterial concentration,RateFlow,//@parameters.2,False,,,,,,
Cholera1,Parameter,β,,,,,,Model file,Certain,,,,,,Constant influx,CONSTANT,0.00316,1/days,,
Cholera1,Parameter,κ,,,,,,Model file,Certain,,,,,,Natural death rate Humans,CONSTANT,3.16e5,1cell/mL,,
Cholera1,Parameter,ξ,,,,,,Model file,Certain,,,,,,Natural death rate Mosquito,CONSTANT,0.316,1/time,,
Cholera1,Parameter,δ,,,,,,Model file,Certain,,,,,,human infection rate,CONSTANT,0.04545,days,,
Cholera1,Parameter,γ,,,,,,Model file,Certain,,,,,,Probability an exposed host becomes symptomatic,CONSTANT,0.11834 ,days,,
Cholera1,Parameter,β * κ,,,,,,Model file,Certain,,,,,,Probability an exposed host becomes asymptomatic,EXPRESSION,β * κ,1/time,,
Cholera2,Compartment,Susceptible adults,,8800000,False,3.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera2,Compartment,Susceptible children under 5,,1200000,False,3.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera2,Compartment,Vaccinated adults (two doses),,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera2,Compartment,Vaccinated children under 5 (two doses),,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera2,Compartment,Vaccinated adults (one dose),,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera2,Compartment,Vaccinated children under 5 (one dose),,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera2,Compartment,Exposed / recently infected,,10,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera2,Compartment,Symptomatic infectious,,3,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera2,Compartment,Asymptomatic infectious,,7,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera2,Compartment,Environmental Vibrio cholerae reservoir,,1,False,0.0,None,Model file,Certain,,,,,,,,,,,
Cholera2,Compartment,Recovered / naturally immune,,1000,False,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Exposed / recently infected,RateFlow,//@parameters.0,False,Adult infection through environmental exposure to Vibrio cholerae reservoir,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Vaccinated adults (two doses),RateFlow,//@parameters.9,False,Vaccination campaign: adults receiving two OCV doses,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Vaccinated adults (one dose),RateFlow,//@parameters.10,False,Vaccination campaign: adults receiving one OCV dose,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Exposed / recently infected,RateFlow,//@parameters.1,False,Child infection through environmental exposure; vaccine efficacy is lower for children under 5,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Vaccinated children under 5 (two doses),RateFlow,//@parameters.9,False,Vaccination campaign: children receiving two OCV doses,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Vaccinated children under 5 (one dose),RateFlow,//@parameters.10,False,Vaccination campaign: children receiving one OCV dose,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Exposed / recently infected,RateFlow,//@parameters.2,False,Breakthrough infection in adults after two-dose vaccination,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Susceptible adults,RateFlow,//@parameters.11,False,Waning of two-dose adult vaccine protection,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Exposed / recently infected,RateFlow,//@parameters.3,False,Breakthrough infection in children after two-dose vaccination; reduced protection relative to adults,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Susceptible children under 5,RateFlow,//@parameters.11,False,Waning of two-dose child vaccine protection,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Exposed / recently infected,RateFlow,//@parameters.4,False,Breakthrough infection in adults after one-dose vaccination,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Susceptible adults,RateFlow,//@parameters.12,False,Loss of one-dose protection after the first year,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Exposed / recently infected,RateFlow,//@parameters.5,False,Breakthrough infection in children after one-dose vaccination,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Susceptible children under 5,RateFlow,//@parameters.12,False,Loss of one-dose protection after the first year,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Symptomatic infectious,RateFlow,//@parameters.6,False,Fraction progressing to symptomatic infectious cholera,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Asymptomatic infectious,RateFlow,//@parameters.7,False,Fraction progressing to asymptomatic infectious cholera,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Recovered / naturally immune,RateFlow,//@parameters.8,False,Recovery from symptomatic infection,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Environmental Vibrio cholerae reservoir,RateFlow,//@parameters.14,False,Shedding of Vibrio cholerae into environmental reservoir from symptomatic cases,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Recovered / naturally immune,RateFlow,//@parameters.8,False,Recovery from asymptomatic infection,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Environmental Vibrio cholerae reservoir,RateFlow,//@parameters.15,False,Environmental shedding from asymptomatic infections (lower than symptomatic),,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Susceptible adults,RateFlow,//@parameters.13,False,Waning of natural immunity in adults/mixed national population,,,,,
Cholera2,Parameter,βA,,,,,,Model file,Certain,,,,,,Adult environmental transmission/contact rate,CONSTANT,0.35,1/week,,
Cholera2,Parameter,βC,,,,,,Model file,Certain,,,,,,Child environmental transmission/contact rate,CONSTANT,0.35,1/week,,
Cholera2,Parameter,βA_2dose,,,,,,Model file,Certain,,,,,,Breakthrough transmission rate for adults after two doses,EXPRESSION,βA * (1 - VE2A),1/week,,
Cholera2,Parameter,βC_2dose,,,,,,Model file,Certain,,,,,,Breakthrough transmission rate for children under 5 after two doses,EXPRESSION,βC * (1 - VE2C),1/week,,
Cholera2,Parameter,βA_1dose,,,,,,Model file,Certain,,,,,,Breakthrough transmission rate for adults after one dose,EXPRESSION,βA * (1 - VE1A),1/week,,
Cholera2,Parameter,βC_1dose,,,,,,Model file,Certain,,,,,,Breakthrough transmission rate for children under 5 after one dose,EXPRESSION,βC * (1 - VE1C),1/week,,
Cholera2,Parameter,σ*k,,,,,,Model file,Certain,,,,,,Progression from exposure to symptomatic infection,CONSTANT,0.14,1/week,,
Cholera2,Parameter,(1-σ)*k,,,,,,Model file,Certain,,,,,,Progression from exposure to asymptomatic infection,CONSTANT,0.21,1/week,,
Cholera2,Parameter,γ,,,,,,Model file,Certain,,,,,,Recovery rate from infectious cholera,CONSTANT,0.5,1/week,,
Cholera2,Parameter,ν2,,,,,,Model file,Certain,,,,,,Campaign vaccination rate into two-dose classes; scenario-dependent rollout parameter,CONSTANT,0.015,1/week,,
Cholera2,Parameter,ν1,,,,,,Model file,Certain,,,,,,Campaign vaccination rate into one-dose classes; scenario-dependent rollout parameter,CONSTANT,0.002,1/week,,
Cholera2,Parameter,ω2,,,,,,Model file,Certain,,,,,,Waning rate of two-dose protection; approximately 5-year horizon,CONSTANT,0.00385,1/week,,
Cholera2,Parameter,ω1,,,,,,Model file,Certain,,,,,,Waning rate of one-dose protection; protection assumed lost after about 1 year,CONSTANT,0.01923,1/week,,
Cholera2,Parameter,ωR,,,,,,Model file,Certain,,,,,,Waning rate of natural immunity,CONSTANT,0.01,1/week,,
Cholera2,Parameter,ξS,,,,,,Model file,Certain,,,,,,Shedding rate from symptomatic infectious individuals into environmental reservoir,CONSTANT,0.8,1/week,,
Cholera2,Parameter,ξA,,,,,,Model file,Certain,,,,,,Shedding rate from asymptomatic infectious individuals into environmental reservoir,CONSTANT,0.2,1/week,,
Cholera2,Parameter,ΛA,,,,,,Model file,Certain,,,,,,Recruitment rate into adult susceptible class,CONSTANT,2500,persons/week,,
Cholera2,Parameter,ΛC,,,,,,Model file,Certain,,,,,,Recruitment rate into child susceptible class,CONSTANT,800,persons/week,,
