Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Influenza,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza,Compartment,Exposed 1,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza,Compartment,Exposed 2,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza,Compartment,Infectious 1,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza,Compartment,Infectious 2,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Influenza,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Influenza,Flow,,,,,,,Model file,Certain,,Exposed 1,RateFlow,//@parameters.0,False,Infection occurs when a susceptible individual comes into contact with an infectious individual.,,,
Influenza,Flow,,,,,,,Model file,Certain,,Exposed 2,RateFlow,//@parameters.1,False,Progression from the first stage of exposure to the second stage.,,,
Influenza,Flow,,,,,,,Model file,Certain,,Infectious 1,RateFlow,//@parameters.1,False,Progression from the second stage of exposure to the first stage of being infectious.,,,
Influenza,Flow,,,,,,,Model file,Certain,,Infectious 2,RateFlow,//@parameters.1,False,Progression from the first stage of being infectious to the second stage.,,,
Influenza,Parameter,β,,,,,,Model file,Certain,,,,,,"Transmission rate, the rate at which new infections occur given contact.",CONSTANT,varies,per day
Influenza,Parameter,σ,,,,,,Model file,Certain,,,,,,Rate of progression from exposed to infectious.,CONSTANT,1,per day
Influenza,Parameter,γ,,,,,,Model file,Certain,,,,,,Rate of recovery or removal from the infectious state.,CONSTANT,0.5797,per day
Influenza,Parameter,p_ICU,,,,,,Model file,Certain,,,,,,Probability of ICU admission given infection.,CONSTANT,varies,probability
Influenza,Parameter,μ_ICU|E,,,,,,Model file,Certain,,,,,,Mean time from infection to ICU admission.,CONSTANT,5.708,days
Influenza,Parameter,σ2_ICU|E,,,,,,Model file,Certain,,,,,,Variance of time from infection to ICU admission.,CONSTANT,18.24,days^2
