Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Malaria,Compartment,Malaria Susceptible Human,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Malaria Vaccinated Human,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Malaria vector Exposed Human,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Malaria non-vector Exposed Human,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Malaria Infectious Human,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Malaria Treated Human,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Malaria Recovered Human,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Malaria Susceptible Mosquito,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Malaria Exposed Mosquito,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Malaria Infectious Mosquito,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria vector Exposed Human,RateFlow,//@parameters.5,False,Infection of susceptible humans by infectious mosquitoes at rate β2 = ηS * I_M.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria non-vector Exposed Human,RateFlow,//@parameters.7,False,Infection of susceptible humans through non-vector pathways from infectious humans at rate α2 = ξS * I_H.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria Susceptible Human,RateFlow,//@parameters.2,False,Loss of vaccine-induced immunity at rate θ.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria vector Exposed Human,RateFlow,//@parameters.1,False,Infection of vaccinated humans by infectious mosquitoes (breakthrough infection) at rate β1 * ε = ηV * I_M * ε.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria non-vector Exposed Human,RateFlow,//@parameters.6,False,Infection of vaccinated humans through non-vector pathways from infectious humans at rate α1 = ξV * I_H.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria Infectious Human,RateFlow,//@parameters.8,False,Progression from vector-exposed to infectious at rate τ1.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria Infectious Human,RateFlow,//@parameters.9,False,Progression from non-vector-exposed to infectious at rate τ2.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria Treated Human,RateFlow,//@parameters.11,False,Progression from infectious to treated at rate σ.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria Recovered Human,RateFlow,//@parameters.12,False,Progression from treated to recovered at rate ω.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria Susceptible Human,RateFlow,//@parameters.13,False,Loss of natural immunity at rate γ.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria Exposed Mosquito,RateFlow,//@parameters.14,False,Infection of susceptible mosquitoes by biting infectious humans at rate β3 = ρ * I_H.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Malaria Infectious Mosquito,RateFlow,//@parameters.15,False,Progression from exposed to infectious in mosquitoes at rate φ.,,,
Malaria,Parameter,π,,,,,,Model file,Certain,,,,,,Human Population birth rate,CONSTANT,0.012,per day
Malaria,Parameter,k,,,,,,Model file,Certain,,,,,,Vaccination rate,CONSTANT,0.60-0.90,
Malaria,Parameter,θ,,,,,,Model file,Certain,,,,,,Rate of vaccine immunity loss due to vaccine failure,CONSTANT,0.1-0.2,per day
Malaria,Parameter,ε,,,,,,Model file,Certain,,,,,,Rate of Vaccine Efficacy,CONSTANT,0.3-0.5,
Malaria,Parameter,ηV,,,,,,Model file,Certain,,,,,,Effective contact rate of Human Vaccinated individuals with infected mosquitoes through bloodmeals,CONSTANT,0.001-0.005,per day
Malaria,Parameter,ηS,,,,,,Model file,Certain,,,,,,Effective contact rate of Human susceptible individuals with infected mosquitoes through bloodmeals,CONSTANT,0.005-0.02,per day
Malaria,Parameter,ξV,,,,,,Model file,Certain,,,,,,Effective contact rate of Human Vaccinated individuals with infected humans through other non-mosquitoes’ ways (non-vector pathways) of malaria infectivity,CONSTANT,0.0005-0.002,per day
Malaria,Parameter,ξS,,,,,,Model file,Certain,,,,,,Effective contact rate of Human susceptible individuals with infected human through other non-mosquitos’ ways (non-vector pathways) of malaria infectivity,CONSTANT,0.001-0.003,per day
Malaria,Parameter,τ1,,,,,,Model file,Certain,,,,,,Human Population Progression rate from exposed to infectious for mosquitos’ malaria exposed individuals,CONSTANT,0.05,per day
Malaria,Parameter,τ2,,,,,,Model file,Certain,,,,,,Human Population Progression rate from exposed to infectious for non-mosquitos’ (non-vector pathways) malaria exposed individuals,CONSTANT,0.05,per day
Malaria,Parameter,δ1,,,,,,Model file,Certain,,,,,,Human Population Malaria disease death rate,CONSTANT,0.002,per day
Malaria,Parameter,σ,,,,,,Model file,Certain,,,,,,Human Population progression rate from infected to treated,CONSTANT,0.10,per day
Malaria,Parameter,ω,,,,,,Model file,Certain,,,,,,Human Population progression rate from treated to recovered,CONSTANT,0.05,per day
Malaria,Parameter,γ,,,,,,Model file,Certain,,,,,,Human recovered Population rate of immunity loss,CONSTANT,0.01,per day
Malaria,Parameter,ρ,,,,,,Model file,Certain,,,,,,Effective contact rate of susceptible mosquitoes with infected humans through bloodmeals,CONSTANT,0.01-0.05,per mosquito
Malaria,Parameter,φ,,,,,,Model file,Certain,,,,,,Mosquitoes Population Progression rate from exposed to infectious,CONSTANT,0.0,
