Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description
Zika,Compartment,Susceptible Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Zika,Compartment,Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Zika,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Zika,Compartment,Recovered Humans,,0,False,0.0,None,Model file,Certain,,,,,,
Zika,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Zika,Compartment,Exposed Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Zika,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,
Zika,Flow,,,,,,,Model file,Certain,,Exposed Humans,RateFlow,0.0,False,Humans become exposed after being bitten by an infectious mosquito.
Zika,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,0.0,False,Exposed humans become infectious after the incubation period.
Zika,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,0.0,False,Infectious humans recover from the virus.
Zika,Flow,,,,,,,Model file,Certain,,Exposed Mosquitoes,RateFlow,0.0,False,Mosquitoes become exposed after biting an infectious human.
Zika,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,0.0,False,Exposed mosquitoes become infectious after the incubation period.
