Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Covid,Compartment,Susceptible,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Exposed,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Exposed Quarantined,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Presymptomatic,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Presymptomatic Isolated,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Mild to Moderate,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Mild to Moderate Isolated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Severe,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Severe Isolated,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Admitted to Hospital,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Admitted to Hospital Pre-ICU,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,ICU,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Admitted to Hospital Post-ICU,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Covid,Compartment,Dead,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Covid,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,0.0,False,Infection of susceptible individuals through contact with infectious individuals,,,
Covid,Flow,,,,,,,Model file,Certain,,Exposed Quarantined,RateFlow,0.0,False,Infection of susceptible individuals who are then quarantined via contact tracing,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Presymptomatic,RateFlow,0.0,False,Progression from latent period to presymptomatic infectious stage,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Presymptomatic Isolated,RateFlow,0.0,False,Progression from quarantined exposed to presymptomatic infectious isolated stage,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Mild to Moderate,RateFlow,0.0,False,Progression to mild/moderate symptomatic infection,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Severe,RateFlow,0.0,False,Progression to severe symptomatic infection,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Mild to Moderate Isolated,RateFlow,0.0,False,Progression to mild/moderate symptoms while isolated,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Severe Isolated,RateFlow,0.0,False,Progression to severe symptoms while isolated,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Mild to Moderate Isolated,RateFlow,0.0,False,Testing and isolation of mild/moderate cases,,,
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Recovery of mild/moderate cases,,,
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Recovery of isolated mild/moderate cases,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Severe Isolated,RateFlow,0.0,False,Testing and isolation of severe cases,,,
Covid,Flow,,,,,,,Model file,Certain,,Admitted to Hospital,RateFlow,0.0,False,Hospital admission for severe non-ICU cases,,,
Covid,Flow,,,,,,,Model file,Certain,,Admitted to Hospital Pre-ICU,RateFlow,0.0,False,Hospital admission for severe cases requiring ICU,,,
Covid,Flow,,,,,,,Model file,Certain,,Admitted to Hospital,RateFlow,0.0,False,Hospital admission for isolated severe non-ICU cases,,,
Covid,Flow,,,,,,,Model file,Certain,,Admitted to Hospital Pre-ICU,RateFlow,0.0,False,Hospital admission for isolated severe cases requiring ICU,,,
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Recovery after hospital stay (non-ICU),,,
Covid,Flow,,,,,,,Model file,Certain,,ICU,RateFlow,0.0,False,Transfer from hospital to ICU,,,
Covid,Flow,,,,,,,Model file,Certain,,Admitted to Hospital Post-ICU,RateFlow,0.0,False,Transfer from ICU to post-ICU hospital care,,,
Covid,Flow,,,,,,,Model file,Certain,,Dead,RateFlow,0.0,False,Death in ICU,,,
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Recovery after post-ICU hospital stay,,,
Covid,Parameter,R0,,,,,,Model file,Certain,,,,,,Basic reproduction number: average number of secondary infections from a primary infection in a susceptible population,CONSTANT,2.3,dimensionless
