Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Ebolasensitivity,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Ebolasensitivity,Compartment,Non-symptomatic Infected,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Ebolasensitivity,Compartment,Infectious,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Ebolasensitivity,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Ebolasensitivity,Compartment,Infectious Deceased,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Non-symptomatic Infected,RateFlow,//@parameters.3,False,Infection of susceptible individuals through contact with infectious living individuals at rate βc_I SI / N,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.6,False,Progression from non-symptomatic to symptomatic infectious state at rate ω,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.1,False,Recovery from disease at rate γ,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious Deceased,RateFlow,//@parameters.0,False,Death from disease at rate α,,,
Ebolasensitivity,Parameter,α,,,,,,Model file,Certain,,,,,,Disease death rate (range 0.5–1),CONSTANT,0.5,weeks^-1
Ebolasensitivity,Parameter,γ,,,,,,Model file,Certain,,,,,,Recovery rate (range 0.5–1),CONSTANT,0.5,weeks^-1
Ebolasensitivity,Parameter,θ,,,,,,Model file,Certain,,,,,,Safe burial rate / rate at which dead bodies lose infectivity (range 0.33–7),CONSTANT,1,weeks^-1
Ebolasensitivity,Parameter,c_I,,,,,,Model file,Certain,,,,,,Contact rate with infectious individuals (range 0–5),CONSTANT,variable,people weeks^-1
Ebolasensitivity,Parameter,c_D,,,,,,Model file,Certain,,,,,,Contact rate with infectious dead bodies (range 0–5),CONSTANT,variable,people weeks^-1
Ebolasensitivity,Parameter,β,,,,,,Model file,Certain,,,,,,Transmission probability (range 0–1),CONSTANT,0.75,dimensionless
Ebolasensitivity,Parameter,ω,,,,,,Model file,Certain,,,,,,Rate at which infected individuals become infectious/symptomatic (range 0.33–3),CONSTANT,1,weeks^-1
