Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Malaria,Compartment,H,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Malaria,Compartment,Susceptible Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Vaccinated Humans,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Vector Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Non-vector Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Treated Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Recovered Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Exposed Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Malaria,Flow,,,,,,,Model file,Certain,,Vector Exposed Humans,RateFlow,//@parameters.0,False,Susceptible humans exposed to malaria through infectious mosquito bites,,,
Malaria,Flow,,,,,,,Model file,Certain,,Non-vector Exposed Humans,RateFlow,//@parameters.0,False,Susceptible humans exposed to malaria through non-vector pathways,,,
Malaria,Flow,,,,,,,Model file,Certain,,Susceptible Humans,RateFlow,//@parameters.0,False,"Loss of vaccine immunity, vaccinated humans return to susceptible class",,,
Malaria,Flow,,,,,,,Model file,Certain,,Vector Exposed Humans,RateFlow,//@parameters.0,False,Vaccinated humans exposed to malaria through infectious mosquito bites,,,
Malaria,Flow,,,,,,,Model file,Certain,,Non-vector Exposed Humans,RateFlow,//@parameters.0,False,Vaccinated humans exposed to malaria through non-vector pathways,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.0,False,,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.0,False,Progression from non-vector exposed to infectious at rate τ2,,,
Malaria,Flow,,,,,,,Model file,Certain,,Treated Humans,RateFlow,//@parameters.0,False,Infectious humans receive treatment at rate σ,,,
Malaria,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.0,False,Treated humans recover at rate ω,,,
Malaria,Flow,,,,,,,Model file,Certain,,Susceptible Humans,RateFlow,//@parameters.0,False,"Loss of immunity in recovered humans, relapse to susceptible class",,,
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Mosquitoes,RateFlow,//@parameters.0,False,Susceptible mosquitoes become exposed through contact with infectious humans,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,//@parameters.0,False,Exposed mosquitoes progress to infectious at rate φ,,,
Malaria,Parameter,I,,,,,,Model file,Certain,,,,,,,CONSTANT,0,
Malaria,Parameter,R,,,,,,Model file,Certain,,,,,,,CONSTANT,0,
Malaria,Parameter,S,,,,,,Model file,Certain,,,,,,,CONSTANT,0,
Malaria,Parameter,N,,,,,,Model file,Certain,,,,,,,CONSTANT,0,
Malaria,Parameter,Es,,,,,,Model file,Certain,,,,,,,CONSTANT,2,
Malaria,Parameter,g,,,,,,Model file,Certain,,,,,,,CONSTANT,1,
Malaria,Parameter,A,,,,,,Model file,Certain,,,,,,,CONSTANT,1,
Malaria,Parameter,V,,,,,,Model file,Certain,,,,,,,CONSTANT,50,
Malaria,Parameter,E,,,,,,Model file,Certain,,,,,,,CONSTANT,30,
Malaria,Parameter,π,,,,,,Model file,Certain,,,,,,Human Population birth rate,CONSTANT,0.0,
Malaria,Parameter,θ,,,,,,Model file,Certain,,,,,,Rate of vaccine immunity loss due to vaccine failure,CONSTANT,0.0,
Malaria,Parameter,ε,,,,,,Model file,Certain,,,,,,Rate of Vaccine Efficacy,CONSTANT,0.0,
Malaria,Parameter,ηV,,,,,,Model file,Certain,,,,,,Effective contact rate of Human Vaccinated individuals with infected mosquitoes through bloodmeals,CONSTANT,0.0,
Malaria,Parameter,ηS,,,,,,Model file,Certain,,,,,,Effective contact rate of Human susceptible individuals with infected mosquitoes through bloodmeals,CONSTANT,0.0,
Malaria,Parameter,ξV,,,,,,Model file,Certain,,,,,,Effective contact rate of Human Vaccinated individuals with infected humans through other non-mosquitoes' ways (non-vector pathways) of malaria infectivity,CONSTANT,0.0,
Malaria,Parameter,ξS,,,,,,Model file,Certain,,,,,,Effective contact rate of Human susceptible individuals with infected human through other non-mosquitos' ways (non-vector pathways) of malaria infectivity,CONSTANT,0.0,
Malaria,Parameter,τ1,,,,,,Model file,Certain,,,,,,Human Population Progression rate from exposed to infectious for mosquitos' malaria exposed individuals,CONSTANT,0.0,
Malaria,Parameter,τ2,,,,,,Model file,Certain,,,,,,Human Population Progression rate from exposed to infectious for non-mosquitos' (non-vector pathways) malaria exposed individuals,CONSTANT,0.0,
Malaria,Parameter,δ1,,,,,,Model file,Certain,,,,,,Human Population Malaria disease death rate,CONSTANT,0.0,
Malaria,Parameter,σ,,,,,,Model file,Certain,,,,,,Human Population progression rate from infected to treated,CONSTANT,0.0,
Malaria,Parameter,ω,,,,,,Model file,Certain,,,,,,Human Population progression rate from treated to recovered,CONSTANT,0.0,
Malaria,Parameter,γ,,,,,,Model file,Certain,,,,,,Human recovered Population rate of immunity loss,CONSTANT,0.0,
Malaria,Parameter,ρ,,,,,,Model file,Certain,,,,,,Effective contact rate of susceptible mosquitoes with infected humans through bloodmeals,CONSTANT,0.0,
Malaria,Parameter,φ,,,,,,Model file,Certain,,,,,,Mosquitoes Population Progression rate from exposed to infectious,CONSTANT,0.0,
Malaria,Parameter,β1,,,,,,Model file,Certain,,,,,,"Active contact rate of vaccinated humans with infectious vector, defined as β1 = ηV * IM",CONSTANT,0.0,
Malaria,Parameter,β2,,,,,,Model file,Certain,,,,,,"Active contact rate of susceptible humans with infectious vector, defined as β2 = ηS * IM",CONSTANT,0.0,
Malaria,Parameter,α1,,,,,,Model file,Certain,,,,,,"Active contact rate of vaccinated humans with infectious non-vector ways, defined as α1 = ξV * IH",CONSTANT,0.0,
Malaria,Parameter,α2,,,,,,Model file,Certain,,,,,,"Active contact rate of susceptible humans with infectious non-vector ways, defined as α2 = ξS * IH",CONSTANT,0.0,
Malaria,Parameter,β3,,,,,,Model file,Certain,,,,,,"Effective contact rate of susceptible mosquitoes with infected humans, defined as β3 = ρ * IH",CONSTANT,0.0,
Malaria,Parameter,R0,,,,,,Model file,Certain,,,,,,"Basic reproduction number of the malaria model, computed via next generation method",CONSTANT,0.0,dimensionless
Malaria,Parameter,R01,,,,,,Model file,Certain,,,,,,Component of R0 related to non-vector transmission: R01 = ξS * π * τ2 / [µ1 * (µ1+τ2) * (µ1+δ1+σ)],CONSTANT,0.0,dimensionless
