Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Cholera2,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Cholera2,Compartment,Infectious,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Cholera2,Compartment,Recovered,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,0.0,False,Cholera infection/transmission from exposure to Vibrio cholerae.,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Recovery from cholera infection.,,,
Cholera2,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,//@parameters.3,False,Waning of natural immunity back to susceptibility.,,,
Cholera2,Parameter,Initial vaccine protection,,,,,,Model file,Certain,,,,,,"Assumed initial protection after vaccination, estimated from a recent case-control study in Haiti.",CONSTANT,76%,percent
Cholera2,Parameter,Vaccine protection duration,,,,,,Model file,Certain,,,,,,Protection was modeled to wane over 60 months after vaccination.,CONSTANT,60,months
Cholera2,Parameter,Single-dose protection duration,,,,,,Model file,Certain,,,,,,"Single-dose protection was assumed to be the same as two-dose protection for the first year after vaccination, then drop to zero.",CONSTANT,1,year
Cholera2,Parameter,Children under 5 vaccine effectiveness multiplier,,,,,,Model file,Certain,,,,,,Children younger than 5 years were assumed to have 46.9% of adult vaccine effectiveness.,CONSTANT,46.9%,relative to adults
Cholera2,Parameter,Baseline two-dose vaccine coverage,,,,,,Model file,Certain,,,,,,Baseline campaign coverage assumption.,CONSTANT,70%,percent
Cholera2,Parameter,Baseline one-dose vaccine coverage,,,,,,Model file,Certain,,,,,,Baseline campaign coverage assumption.,CONSTANT,10%,percent
Cholera2,Parameter,No vaccine coverage,,,,,,Model file,Certain,,,,,,Baseline campaign coverage assumption.,CONSTANT,20%,percent
Cholera2,Parameter,High-coverage two-dose vaccine coverage,,,,,,Model file,Certain,,,,,,Coverage assumption for the high-coverage campaign.,CONSTANT,95%,percent
Cholera2,Parameter,High-coverage one-dose vaccine coverage,,,,,,Model file,Certain,,,,,,Coverage assumption for the high-coverage campaign.,CONSTANT,1.67%,percent
Cholera2,Parameter,High-coverage no vaccine coverage,,,,,,Model file,Certain,,,,,,Coverage assumption for the high-coverage campaign.,CONSTANT,3.33%,percent
