Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Cholera,Compartment,S,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Cholera,Compartment,I,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Cholera,Compartment,R,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Cholera,Compartment,B,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Cholera,Flow,,,,,,,Model file,Certain,,I,RateFlow,//@parameters.3,False,Susceptible people are exposed to contaminated water and become infected.,,,
Cholera,Flow,,,,,,,Model file,Certain,,R,RateFlow,//@parameters.1,False,Infectious people recover and become immune.,,,
Cholera,Parameter,β,,,,,,Model file,Certain,,,,,,"Rate of 'contact' with reservoir water, representing the maximum infection rate.",CONSTANT,10^-5 to 1,days-1
Cholera,Parameter,γ,,,,,,Model file,Certain,,,,,,"Per capita recovery rate, the reciprocal of the duration of cholera infection.",CONSTANT,1/14 to 1/2.9,days-1
Cholera,Parameter,δ,,,,,,Model file,Certain,,,,,,"Decay rate of cholera in the water reservoir, the reciprocal of the cholera life span in water.",CONSTANT,1/41 to 1/3,days-1
Cholera,Parameter,ξ,,,,,,Model file,Certain,,,,,,Rate of water contamination by infectious humans shedding V. cholerae.,CONSTANT,0.01 to 10,cells * mL-1 * person-1 * day-1
Cholera,Parameter,κ,,,,,,Model file,Certain,,,,,,Concentration of cholera that yields a 50% chance of infection (half-saturation constant).,CONSTANT,10^5 to 10^6,cells/mL
