Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Cholera,Compartment,Susceptible,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Cholera,Compartment,Infectious,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Cholera,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Cholera,Compartment,Vaccinated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Cholera,Compartment,Asymptomatic,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Cholera,Compartment,Hyperinfectious Bacteria,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Cholera,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.0,False,Susceptible people become infected/infectious through contact with contaminated water.,,,
Cholera,Flow,,,,,,,Model file,Certain,,Vaccinated,RateFlow,//@parameters.0,False,Susceptible individuals become immune through vaccination.,,,
Cholera,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.0,False,Infectious individuals recover and become immune.,,,
Cholera,Flow,,,,,,,Model file,Certain,,Hyperinfectious Bacteria,RateFlow,//@parameters.0,False,Infectious people contaminate the water supply with bacteria.,,,
Cholera,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,//@parameters.0,False,Immunity wanes and vaccinated individuals become susceptible again.,,,
Cholera,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,//@parameters.0,False,Susceptible people are exposed to contaminated water and may become infected.,,,
Cholera,Parameter,R,,,,,,Model file,Certain,,,,,,,CONSTANT,2,
Cholera,Parameter,etal,,,,,,Model file,Certain,,,,,,,CONSTANT,5,
Cholera,Parameter,β,,,,,,Model file,Certain,,,,,,Rate of 'contact' with reservoir water,CONSTANT,0.0,days^-1
Cholera,Parameter,γ,,,,,,Model file,Certain,,,,,,Per capita recovery rate,CONSTANT,0.0,days^-1
Cholera,Parameter,δ,,,,,,Model file,Certain,,,,,,Cholera lifespan in water reservoir,CONSTANT,0.0,days^-1
Cholera,Parameter,ξ,,,,,,Model file,Certain,,,,,,Rate of water contamination by humans,CONSTANT,0.0,cells * mL^-1 * person^-1 * day^-1
Cholera,Parameter,κ,,,,,,Model file,Certain,,,,,,Concentration of cholera that yields 50% chance of infection,CONSTANT,0.0,cells/mL
Cholera,Parameter,R0,,,,,,Model file,Certain,,,,,,Basic reproduction number,CONSTANT,0.0,
Cholera,Parameter,RE,,,,,,Model file,Certain,,,,,,Effective reproduction number,CONSTANT,0.0,
