Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Covid,Compartment,Susceptible,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Exposed,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Exposed Quarantined,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Presymptomatic,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Presymptomatic Isolated,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Mild to Moderate,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Mild to Moderate Isolated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Severe,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious Severe Isolated,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Admitted to Hospital,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Admitted to Hospital Pre-ICU,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,ICU,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Admitted to Hospital Post-ICU,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Covid,Compartment,Dead,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Covid,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,//@parameters.6,False,Infection of susceptible individuals through contact with infectious individuals,,,
Covid,Flow,,,,,,,Model file,Certain,,Exposed Quarantined,RateFlow,//@parameters.6,False,Infection of susceptible individuals who are then quarantined via contact tracing,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Presymptomatic,RateFlow,//@parameters.0,False,Progression from latent period to presymptomatic infectious stage,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Presymptomatic Isolated,RateFlow,//@parameters.2,False,Progression from quarantined exposed to presymptomatic infectious isolated stage,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Mild to Moderate,RateFlow,//@parameters.2,False,Progression from presymptomatic to mild/moderate symptomatic infection,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious Severe,RateFlow,//@parameters.2,False,Progression from presymptomatic to severe symptomatic infection,,,
