Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Covid,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Exposed,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious (presymptomatic),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious (mild to moderate),,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Infectious (severe),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Isolated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Exposed (quarantined),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,"Infectious (presymptomatic, isolated)",,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,"Infectious (mild to moderate, isolated)",,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,"Infectious (severe, isolated)",,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Admitted to hospital (pre-ICU),,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Admitted to hospital (post-ICU),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,ICU,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Covid,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Covid,Compartment,Dead,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Covid,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,//@parameters.6,False,Infection via contact with infectious individuals.,,,
Covid,Flow,,,,,,,Model file,Certain,,Exposed (quarantined),RateFlow,//@parameters.2,False,Quarantine of exposed cases before they become infectious.,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious (presymptomatic),RateFlow,//@parameters.2,False,Progression from latent infection to presymptomatic infectiousness.,,,
Covid,Flow,,,,,,,Model file,Certain,,Infectious (mild to moderate),RateFlow,//@parameters.2,False,Progression to symptomatic mild-to-moderate infectious disease.,,,
Covid,Flow,,,,,,,Model file,Certain,,Isolated,RateFlow,//@parameters.2,False,Testing and isolation of nonsevere symptomatic cases.,,,
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.6,False,Recovery from mild-to-moderate infection without isolation.,,,
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital (pre-ICU),RateFlow,0.0,False,Hospital admission for severe cases.,,,
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Recovery from isolated cases.,,,
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (presymptomatic, isolated)",RateFlow,//@parameters.2,False,Progression from quarantined exposed state to presymptomatic infectiousness while isolated.,,,
Covid,Flow,,,,,,,Model file,Certain,,"Infectious (mild to moderate, isolated)",RateFlow,//@parameters.2,False,Progression to symptomatic mild-to-moderate infectious disease while isolated.,,,
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.6,False,Recovery from isolated mild-to-moderate infection.,,,
Covid,Flow,,,,,,,Model file,Certain,,Admitted to hospital (pre-ICU),RateFlow,0.0,False,Hospital admission for severe isolated cases.,,,
Covid,Flow,,,,,,,Model file,Certain,,ICU,RateFlow,//@parameters.2,False,Progression from hospital to ICU for severe cases requiring intensive care.,,,
Covid,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.0,False,Recovery for hospitalized cases not requiring ICU care.,,,
