Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Dengue,Compartment,Susceptible Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Exposed Humans,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Symptomatic Infectious Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Asymptomatic Infectious Humans,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Recovered Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Susceptible Mosquitoes,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Infectious Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Flow,,,,,,,Model file,Certain,,Exposed Humans,RateFlow,//@parameters.0,False,"Infection of susceptible humans by infectious mosquitoes via biting, at age-dependent force of infection.",,,
Dengue,Flow,,,,,,,Model file,Certain,,Susceptible Humans,RateFlow,//@parameters.2,False,Natural mortality of humans.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Symptomatic Infectious Humans,RateFlow,//@parameters.1,False,Progression from exposed to symptomatic infectious humans at rate ρk(a).,,,
Dengue,Flow,,,,,,,Model file,Certain,,Asymptomatic Infectious Humans,RateFlow,//@parameters.1,False,Progression from exposed to asymptomatic infectious humans at rate (1−ρ)k(a).,,,
Dengue,Flow,,,,,,,Model file,Certain,,Exposed Humans,RateFlow,//@parameters.2,False,Natural mortality of humans.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.4,False,Recovery of symptomatic infectious humans at rate γ1(a).,,,
Dengue,Flow,,,,,,,Model file,Certain,,Symptomatic Infectious Humans,RateFlow,//@parameters.2,False,Natural mortality of humans.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Symptomatic Infectious Humans,RateFlow,//@parameters.0,False,"Reinfection of asymptomatic infectious humans by infectious mosquitoes, leading to symptomatic infection, at intensity σβh(a).",,,
Dengue,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.5,False,Recovery of asymptomatic infectious humans at rate γ2(a).,,,
Dengue,Flow,,,,,,,Model file,Certain,,Asymptomatic Infectious Humans,RateFlow,//@parameters.2,False,Natural mortality of humans.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.4,False,Natural mortality of humans.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Susceptible Humans,RateFlow,//@parameters.0,False,Constant influx of new human hosts into the susceptible class at birth/recruitment.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,//@parameters.0,False,"Mosquito infection through biting infectious humans, including symptomatic and asymptomatic infectious humans.",,,
Dengue,Flow,,,,,,,Model file,Certain,,Susceptible Mosquitoes,RateFlow,//@parameters.2,False,Natural mortality of mosquitoes.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,//@parameters.2,False,Natural mortality of mosquitoes.,,,
Dengue,Parameter,B,,,,,,Model file,Certain,,,,,,The constant influx rate of the human hosts.,CONSTANT,constant influx rate,per time
Dengue,Parameter,k(a),,,,,,Model file,Certain,,,,,,Inverse of the age-specific latent period of the human hosts.,CONSTANT,age-specific latent progression rate,1/time
Dengue,Parameter,μh,,,,,,Model file,Certain,,,,,,Natural death rate of the human hosts.,CONSTANT,natural death rate of humans,1/time
Dengue,Parameter,μv,,,,,,Model file,Certain,,,,,,Natural death rate of the mosquitoes.,CONSTANT,natural death rate of mosquitoes,1/time
Dengue,Parameter,γ1(a),,,,,,Model file,Certain,,,,,,Recovery rate of symptomatic infectious hosts.,CONSTANT,age-specific recovery rate,1/time
Dengue,Parameter,γ2(a),,,,,,Model file,Certain,,,,,,Recovery rate of asymptomatic infectious hosts.,CONSTANT,age-specific recovery rate,1/time
Dengue,Parameter,βv(a),,,,,,Model file,Certain,,,,,,Transmission rate governing mosquito infection from infectious human hosts.,CONSTANT,age-specific transmission rate from infectious hosts to susceptible mosquitoes,1/time
Dengue,Parameter,βh(a),,,,,,Model file,Certain,,,,,,Transmission rate governing human infection from infectious mosquitoes.,CONSTANT,age-specific transmission rate from infected mosquitoes to susceptible hosts,1/time
Dengue,Parameter,ρ,,,,,,Model file,Certain,,,,,,Probability that exposed hosts transfer to symptomatic infectious hosts.,CONSTANT,probability,dimensionless
Dengue,Parameter,σ,,,,,,Model file,Certain,,,,,,Factor characterizing the intensity of reinfection of asymptomatic infectious hosts.,CONSTANT,reinfection intensity factor,dimensionless
