Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Dengue2,Compartment,Susceptible Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue2,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue2,Compartment,Recovered Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue2,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue2,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Dengue2,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,0.0,False,Transmission from infectious mosquito to susceptible human during blood-feeding,,,
Dengue2,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,0.0,False,Recovery from infection with life-long immunity to infecting serotype and temporary cross-immunity to other serotypes,,,
Dengue2,Flow,,,,,,,Model file,Certain,,Susceptible Humans,RateFlow,0.0,False,"Waning of temporary cross-immunity, becoming susceptible to other DENV serotypes",,,
Dengue2,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,0.0,False,Transmission from infectious human to susceptible mosquito during blood-feeding,,,
Dengue2,Parameter,Per-exposure protection from vaccination for seronegative vaccinees,,,,,,Model file,Certain,,,,,,Probability of protection per exposure for vaccinees without prior DENV exposure,CONSTANT,0.321,dimensionless
Dengue2,Parameter,Per-exposure protection from vaccination for seropositive vaccinees,,,,,,Model file,Certain,,,,,,Probability of protection per exposure for vaccinees with prior DENV exposure,CONSTANT,0.516,dimensionless
Dengue2,Parameter,Average duration of protection for seronegative vaccinees,,,,,,Model file,Certain,,,,,,Average duration of vaccine-induced protection for seronegative vaccinees,CONSTANT,426,days
Dengue2,Parameter,Average duration of protection for seropositive vaccinees,,,,,,Model file,Certain,,,,,,Average duration of vaccine-induced protection for seropositive vaccinees,CONSTANT,258,days
Dengue2,Parameter,Probability of symptoms conditional on infection (primary),,,,,,Model file,Certain,,,,,,Probability of symptomatic disease given a primary DENV infection,CONSTANT,0.405,dimensionless
Dengue2,Parameter,Probability of symptoms conditional on infection (secondary),,,,,,Model file,Certain,,,,,,Probability of symptomatic disease given a secondary DENV infection,CONSTANT,0.339,dimensionless
Dengue2,Parameter,Probability of symptoms conditional on infection (post-secondary),,,,,,Model file,Certain,,,,,,Probability of symptomatic disease given a post-secondary DENV infection,CONSTANT,0.09,dimensionless
Dengue2,Parameter,Probability of hospitalization conditional on symptoms (primary),,,,,,Model file,Certain,,,,,,Probability of hospitalization given symptomatic primary infection,CONSTANT,0.074,dimensionless
Dengue2,Parameter,Probability of hospitalization conditional on symptoms (secondary),,,,,,Model file,Certain,,,,,,Probability of hospitalization given symptomatic secondary infection,CONSTANT,0.376,dimensionless
Dengue2,Parameter,Probability of hospitalization conditional on symptoms (post-secondary),,,,,,Model file,Certain,,,,,,Probability of hospitalization given symptomatic post-secondary infection,CONSTANT,0.101,dimensionless
Dengue2,Parameter,Probability of death conditional on symptomatic disease,,,,,,Model file,Certain,,,,,,Proportion of symptomatic dengue cases that result in death,CONSTANT,0.0078,dimensionless
Dengue2,Parameter,PE9,,,,,,Model file,Certain,,,,,,Proportion of nine-year-olds with prior DENV exposure,CONSTANT,0.1-0.9,dimensionless
Dengue2,Parameter,Sensitivity of serological screening,,,,,,Model file,Certain,,,,,,Probability that an individual with prior DENV exposure tests seropositive,CONSTANT,0-1,dimensionless
Dengue2,Parameter,Specificity of serological screening,,,,,,Model file,Certain,,,,,,Probability that a DENV-naive individual tests seronegative,CONSTANT,0-1,dimensionless
Dengue2,Parameter,Intervention coverage,,,,,,Model file,Certain,,,,,,Proportion of children undergoing serological screening,CONSTANT,10-80,percent
Dengue2,Parameter,Discount rate,,,,,,Model file,Certain,,,,,,Annual discount rate applied to costs and DALYs,CONSTANT,3,percent per year
Dengue2,Parameter,Cost of vaccination (three doses),,,,,,Model file,Certain,,,,,,Cost of fully vaccinating a single person with three doses of CYD-TDV,CONSTANT,69,USD
Dengue2,Parameter,Cost of serological screening,,,,,,Model file,Certain,,,,,,Estimated unit cost of serological screening per person,CONSTANT,10,USD
