Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Dengue2,Compartment,Susceptible Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue2,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue2,Compartment,Recovered Humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Dengue2,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue2,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Dengue2,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,0.0,False,Transmission of dengue virus from an infectious mosquito to a susceptible human during a blood-feed.,,,
Dengue2,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,0.0,False,"Recovery from infection, leading to lifelong immunity to the infecting serotype.",,,
Dengue2,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,0.0,False,Transmission of dengue virus from an infectious human to a susceptible mosquito during a blood-feed.,,,
Dengue2,Parameter,Per-exposure protection from vaccination for seronegative vaccinees,,,,,,Model file,Certain,,,,,,Per-exposure protection from vaccination for seronegative vaccinees.,CONSTANT,0.321,dimensionless
Dengue2,Parameter,Per-exposure protection from vaccination for seropositive vaccinees,,,,,,Model file,Certain,,,,,,Per-exposure protection from vaccination for seropositive vaccinees.,CONSTANT,0.516,dimensionless
Dengue2,Parameter,Average duration of protection for seronegative vaccinees,,,,,,Model file,Certain,,,,,,Average duration of temporary cross-immunity after vaccination for seronegative vaccinees.,CONSTANT,426,days
Dengue2,Parameter,Average duration of protection for seropositive vaccinees,,,,,,Model file,Certain,,,,,,Average duration of temporary cross-immunity after vaccination for seropositive vaccinees.,CONSTANT,258,days
Dengue2,Parameter,Probability of symptoms conditional on infection (primary),,,,,,Model file,Certain,,,,,,Probability that a primary DENV infection results in symptoms.,CONSTANT,0.405,dimensionless
Dengue2,Parameter,Probability of symptoms conditional on infection (secondary),,,,,,Model file,Certain,,,,,,Probability that a secondary DENV infection results in symptoms.,CONSTANT,0.339,dimensionless
Dengue2,Parameter,Probability of symptoms conditional on infection (post-secondary),,,,,,Model file,Certain,,,,,,Probability that a post-secondary DENV infection results in symptoms.,CONSTANT,0.09,dimensionless
Dengue2,Parameter,Probability of hospitalization conditional on symptoms (primary),,,,,,Model file,Certain,,,,,,Probability of hospitalization for a symptomatic primary DENV infection.,CONSTANT,0.074,dimensionless
Dengue2,Parameter,Probability of hospitalization conditional on symptoms (secondary),,,,,,Model file,Certain,,,,,,Probability of hospitalization for a symptomatic secondary DENV infection.,CONSTANT,0.376,dimensionless
Dengue2,Parameter,Probability of hospitalization conditional on symptoms (post-secondary),,,,,,Model file,Certain,,,,,,Probability of hospitalization for a symptomatic post-secondary DENV infection.,CONSTANT,0.101,dimensionless
Dengue2,Parameter,Probability of death conditional on symptomatic disease,,,,,,Model file,Certain,,,,,,Proportion of symptomatic cases that result in death.,CONSTANT,0.0078,dimensionless
Dengue2,Parameter,Probability of mosquito to human transmission,,,,,,Model file,Certain,,,,,,The probability of an infectious mosquito infecting a susceptible human during blood-feeding. Value was calibrated to achieve a target seroprevalence.,CONSTANT,N/A,dimensionless
Dengue2,Parameter,Mosquito emergence rate,,,,,,Model file,Certain,,,,,,The emergence rate of adult female mosquitoes. Value was calibrated to achieve a target seroprevalence.,CONSTANT,N/A,mosquitoes per day
