Model,Type,Name,ParameterType,Value,Unit,Description,Source,Confidence,Notes
Dengue,Parameter,i,CONSTANT,1,,,Model file,Certain,
Dengue,Parameter,Y,CONSTANT,0,,,Model file,Certain,
Dengue,Parameter,j,CONSTANT,1,,,Model file,Certain,
Dengue,Parameter,ds,CONSTANT,1,,,Model file,Certain,
Dengue,Parameter,I,CONSTANT,0.,,,Model file,Certain,
Dengue,Parameter,μ,CONSTANT,0.005,,,Model file,Certain,
Dengue,Parameter,σ,CONSTANT,0.007,,,Model file,Certain,
Dengue,Parameter,β,CONSTANT,18,,,Model file,Certain,
Dengue,Parameter,γ,CONSTANT,0.5,,,Model file,Certain,
Dengue,Parameter,ρ,CONSTANT,0.5,,,Model file,Certain,
Dengue,Parameter,k,CONSTANT,0.6,,,Model file,Certain,
Dengue,Parameter,h,CONSTANT,0,,,Model file,Certain,
Dengue,Parameter,da,CONSTANT,0,,,Model file,Certain,
Dengue,Parameter,arXiv,CONSTANT,2111,,,Model file,Certain,
