Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit,Category,Values
Ebolasensitivity,Compartment,,,0,False,12.0,RateFlow,Model file,Certain,,,,,,,,,,,
Ebolasensitivity,Compartment,Susceptible,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Ebolasensitivity,Compartment,Non-symptomatic Infected,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,,,
Ebolasensitivity,Compartment,Infectious,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,,,
Ebolasensitivity,Compartment,Infectious Deceased,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Ebolasensitivity,Compartment,Recovered,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,0.0,False,Susceptible individuals become infected through contact with infected individuals or corpses.,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,,RateFlow,0.0,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Non-symptomatic Infected,RateFlow,0.0,False,Non-symptomatic infected individuals become infectious and symptomatic.,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious Deceased,RateFlow,0.0,False,Infectious individuals recover from the disease.,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,0.0,False,Infectious individuals may die from the disease and become infectious deceased.,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,,RateFlow,0.0,False,Infectious deceased bodies can infect susceptible individuals.,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,0.0,False,Recovered individuals can die at the background death rate.,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,0.0,False,Susceptible individuals become infected through contact with infected individuals or corpses.,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,,RateFlow,0.0,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Non-symptomatic Infected,RateFlow,0.0,False,Non-symptomatic infected individuals become infectious and symptomatic.,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious Deceased,RateFlow,0.0,False,Infectious individuals recover from the disease.,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,0.0,False,Infectious individuals may die from the disease and become infectious deceased.,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,,RateFlow,0.0,False,Infectious deceased bodies can infect susceptible individuals.,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,0.0,False,Recovered individuals can die at the background death rate.,,,,,
Ebolasensitivity,Parameter,,,,,,,Model file,Certain,,,,,,,CONSTANT,,,,
Ebolasensitivity,Parameter,µ,,,,,,Model file,Certain,,,,,,,CONSTANT,0,,,
Ebolasensitivity,Parameter,γ,,,,,,Model file,Certain,,,,,,,CONSTANT,0,,,
Ebolasensitivity,Parameter,β,,,,,,Model file,Certain,,,,,,,CONSTANT,.,,,
Ebolasensitivity,Parameter,α,,,,,,Model file,Certain,,,,,,,CONSTANT,0,,,
Ebolasensitivity,Parameter,ωα,,,,,,Model file,Certain,,,,,,,CONSTANT,0.,,,
Ebolasensitivity,Parameter,n,,,,,,Model file,Certain,,,,,,,CONSTANT,0,,,
Ebolasensitivity,Parameter,whenR0,,,,,,Model file,Certain,,,,,,,CONSTANT,1,,,
Ebolasensitivity,Parameter,ThehorizontallineindicatedthethresholdR0,,,,,,Model file,Certain,,,,,,,CONSTANT,1.,,,
Ebolasensitivity,Parameter,lieunderneathR0,,,,,,Model file,Certain,,,,,,,CONSTANT,1.,,,
Ebolasensitivity,Parameter,valueslieunderneaththethresholdR,,,,,,Model file,Certain,,,,,,,CONSTANT,1,,,
Ebolasensitivity,Parameter,valuesarenowfoundbelowthethresholdR,,,,,,Model file,Certain,,,,,,,CONSTANT,1.,,,
Ebolasensitivity,Parameter,underneathR0,,,,,,Model file,Certain,,,,,,,CONSTANT,1.,,,
Ebolasensitivity,Parameter,ofthevalueslieunderneathR0,,,,,,Model file,Certain,,,,,,,CONSTANT,1.,,,
Ebolasensitivity,Stratification,,,,,,,Model file,Certain,,,,,,,,,,Group,
Ebolasensitivity,Stratification,age,,,,,,Model file,Certain,,,,,,,,,,Group,
Ebolasensitivity,Stratification,gender,,,,,,Model file,Certain,,,,,,,,,,Group,
