Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Ebolasensitivity,Compartment,,,0,False,12.0,RateFlow,Model file,Certain,,,,,,,,,
Ebolasensitivity,Compartment,Susceptible,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Ebolasensitivity,Compartment,Non-symptomatic Infected,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Ebolasensitivity,Compartment,Infectious,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Ebolasensitivity,Compartment,Infectious Deceased,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Ebolasensitivity,Compartment,Recovered,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,//@parameters.2,False,Susceptible individuals become infected through contact with infected individuals or corpses.,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,,RateFlow,0.0,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Non-symptomatic Infected,RateFlow,//@parameters.2,False,Non-symptomatic infected individuals become infectious and symptomatic.,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious Deceased,RateFlow,//@parameters.1,False,Infectious individuals recover from the disease.,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.1,False,Infectious individuals may die from the disease and become infectious deceased.,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,,RateFlow,//@parameters.2,False,Infectious dead bodies infect susceptible individuals through contact.,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.2,False,Recovered individuals die at the background death rate.,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,//@parameters.2,False,Susceptible individuals become infected through contact with infected individuals or corpses.,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,,RateFlow,0.0,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Non-symptomatic Infected,RateFlow,//@parameters.2,False,Non-symptomatic infected individuals become infectious and symptomatic.,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious Deceased,RateFlow,//@parameters.1,False,Infectious individuals recover from the disease.,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.1,False,Infectious individuals may die from the disease and become infectious deceased.,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,,RateFlow,//@parameters.2,False,Infectious dead bodies infect susceptible individuals through contact.,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Unknown,RateFlow,,False,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.2,False,Recovered individuals die at the background death rate.,,,
Ebolasensitivity,Parameter,,,,,,,Model file,Certain,,,,,,,CONSTANT,,
Ebolasensitivity,Parameter,β,,,,,,Model file,Certain,,,,,,,CONSTANT,.,
Ebolasensitivity,Parameter,α,,,,,,Model file,Certain,,,,,,,CONSTANT,0.,
Ebolasensitivity,Parameter,n,,,,,,Model file,Certain,,,,,,,CONSTANT,0,
Ebolasensitivity,Parameter,γ,,,,,,Model file,Certain,,,,,,recovery rate,CONSTANT,0.5,weeks^-1
Ebolasensitivity,Parameter,μ,,,,,,Model file,Certain,,,,,,background death rate,CONSTANT,0.02,years^-1
Ebolasensitivity,Parameter,Λ,,,,,,Model file,Certain,,,,,,birth rate,CONSTANT,1000,people years^-1
Ebolasensitivity,Parameter,θ,,,,,,Model file,Certain,,,,,,safe burial rate,CONSTANT,1,weeks^-1
Ebolasensitivity,Parameter,c_I,,,,,,Model file,Certain,,,,,,contact rate with infectious individuals,CONSTANT,0.0,people weeks^-1
Ebolasensitivity,Parameter,c_D,,,,,,Model file,Certain,,,,,,contact rate with infectious dead bodies,CONSTANT,0.0,people weeks^-1
Ebolasensitivity,Parameter,ω,,,,,,Model file,Certain,,,,,,rate at which infected individuals become infectious,CONSTANT,1,weeks^-1
