Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Ebolasensitivity,Compartment,"The effect that vaccination and quarantine, together and separately, have on the outcome of the Ebola epidemic",,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Ebolasensitivity,Flow,,,,,,,Model file,Certain,,"The effect that vaccination and quarantine, together and separately, have on the outcome of the Ebola epidemic",RateFlow,//@parameters.2,False,,,,
Ebolasensitivity,Parameter,α,,,,,,Model file,Certain,,,,,,,CONSTANT,0.,
Ebolasensitivity,Parameter,β,,,,,,Model file,Certain,,,,,,,CONSTANT,0,
Ebolasensitivity,Parameter,R,,,,,,Model file,Certain,,,,,,,CONSTANT,.,
Ebolasensitivity,Parameter,a,,,,,,Model file,Certain,,,,,,,CONSTANT,0,
Ebolasensitivity,Parameter,n,,,,,,Model file,Certain,,,,,,,CONSTANT,0,
Ebolasensitivity,Parameter,whenR,,,,,,Model file,Certain,,,,,,,CONSTANT,1,
Ebolasensitivity,Parameter,lieunderneathR,,,,,,Model file,Certain,,,,,,,CONSTANT,1.,
Ebolasensitivity,Parameter,underneathR,,,,,,Model file,Certain,,,,,,,CONSTANT,1.,
