Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Influenza,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza,Compartment,Exposed 1,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza,Compartment,Exposed 2,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza,Compartment,Infectious 1,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza,Compartment,Infectious 2,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Influenza,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Influenza,Flow,,,,,,,Model file,Certain,,Exposed 1,RateFlow,//@parameters.12,False,"Infection of susceptible individuals at a rate λ(t), proportional to the number of infectious people I(t) = I1(t) + I2(t) and the transmission rate β.",,,
Influenza,Flow,,,,,,,Model file,Certain,,Exposed 2,RateFlow,//@parameters.5,False,Progression from the first to the second exposed stage at a daily rate σ.,,,
Influenza,Flow,,,,,,,Model file,Certain,,Infectious 1,RateFlow,//@parameters.5,False,Progression from the exposed state to the infectious state at a daily rate σ.,,,
Influenza,Flow,,,,,,,Model file,Certain,,Infectious 2,RateFlow,//@parameters.6,False,Progression from the first to the second infectious stage at a daily rate γ.,,,
Influenza,Parameter,π,,,,,,Model file,Certain,,,,,,Susceptibility; the proportion of the population who is initially susceptible.,CONSTANT,Inferred,dimensionless
Influenza,Parameter,λ0,,,,,,Model file,Certain,,,,,,Initial infection rate.,CONSTANT,Inferred,day^-1
Influenza,Parameter,ψ,,,,,,Model file,Certain,,,,,,Exponential growth rate of the epidemic.,CONSTANT,Inferred,day^-1
Influenza,Parameter,η,,,,,,Model file,Certain,,,,,,Over-dispersion parameter for the Negative Binomial observation model.,CONSTANT,Inferred,dimensionless
Influenza,Parameter,p_ICU,,,,,,Model file,Certain,,,,,,Probability of ICU admission given infection.,CONSTANT,Inferred,dimensionless
Influenza,Parameter,σ,,,,,,Model file,Certain,,,,,,Rate of becoming infectious (progression through exposed stages).,CONSTANT,1,day^-1
Influenza,Parameter,γ,,,,,,Model file,Certain,,,,,,Rate of recovery (progression through infectious stages).,CONSTANT,0.5797,day^-1
Influenza,Parameter,µ_ICU|E,,,,,,Model file,Certain,,,,,,Mean time from infection to ICU admission.,CONSTANT,5.708,days
Influenza,Parameter,σ^2_ICU|E,,,,,,Model file,Certain,,,,,,Variance of time from infection to ICU admission.,CONSTANT,18.24,days^2
Influenza,Parameter,N_2012/13,,,,,,Model file,Certain,,,,,,Population size for the 2012/13 season.,CONSTANT,53679750,persons
Influenza,Parameter,N_2013/14,,,,,,Model file,Certain,,,,,,Population size for the 2013/14 season.,CONSTANT,54091200,persons
Influenza,Parameter,N_2014/15,,,,,,Model file,Certain,,,,,,Population size for the 2014/15 season.,CONSTANT,54551450,persons
Influenza,Parameter,β,,,,,,Model file,Certain,,,,,,The constant transmission rate at which new infections take place given a contact.,CONSTANT,Inferred,day^-1
