Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Influenza,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza,Compartment,Exposed,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza,Compartment,Infectious,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Influenza,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.3,False,Transmission of infection from susceptible individuals to infectious individuals,,,
Influenza,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,0.0,False,,,,
Influenza,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.4,False,,,,
Influenza,Parameter,σ,,,,,,Model file,Certain,,,,,,,CONSTANT,0.2,
Influenza,Parameter,w,,,,,,Model file,Certain,,,,,,,CONSTANT,3,
Influenza,Parameter,eid,,,,,,Model file,Certain,,,,,,,CONSTANT,2,
Influenza,Parameter,β,,,,,,Model file,Certain,,,,,,transmission rate,CONSTANT,unknown,unitless
Influenza,Parameter,γ,,,,,,Model file,Certain,,,,,,rate of recovery,CONSTANT,0.5797,day^-1
Influenza,Parameter,σ²,,,,,,Model file,Certain,,,,,,variance of time from infection to ICU admission,CONSTANT,18.24,days²
Influenza,Parameter,π,,,,,,Model file,Certain,,,,,,susceptibility,CONSTANT,unknown,unitless
Influenza,Parameter,λ,,,,,,Model file,Certain,,,,,,initial infection rate,CONSTANT,unknown,unitless
Influenza,Parameter,ψ,,,,,,Model file,Certain,,,,,,exponential growth rate,CONSTANT,unknown,unitless
Influenza,Parameter,η,,,,,,Model file,Certain,,,,,,over-dispersion,CONSTANT,unknown,unitless
Influenza,Parameter,p_ICU,,,,,,Model file,Certain,,,,,,probability of ICU admission given infection,CONSTANT,unknown,unitless
