Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Hiv,Compartment,Susceptible Homosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Untreated Infected Homosexual Men,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Susceptible Women,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Untreated Infected Women,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Susceptible Heterosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Untreated Infected Heterosexual Men,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Treated with Antiretrovirals,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,People Living with AIDS,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Hiv,Flow,,,,,,,Model file,Certain,,Untreated Infected Homosexual Men,RateFlow,//@parameters.0,False,HIV infection among homosexual men through sexual contact.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated with Antiretrovirals,RateFlow,//@parameters.1,False,Enrollment into antiretroviral therapy.,,,
Hiv,Flow,,,,,,,Model file,Certain,,People Living with AIDS,RateFlow,//@parameters.0,False,Progression from untreated HIV infection to AIDS.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Untreated Infected Women,RateFlow,//@parameters.0,False,HIV infection among women through sexual contact with infected homosexual men or infected heterosexual men.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated with Antiretrovirals,RateFlow,//@parameters.1,False,Enrollment into antiretroviral therapy.,,,
Hiv,Flow,,,,,,,Model file,Certain,,People Living with AIDS,RateFlow,//@parameters.0,False,Progression from untreated HIV infection to AIDS.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Untreated Infected Heterosexual Men,RateFlow,//@parameters.0,False,HIV infection among heterosexual men through sexual contact with infected women.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated with Antiretrovirals,RateFlow,//@parameters.1,False,Enrollment into antiretroviral therapy.,,,
Hiv,Flow,,,,,,,Model file,Certain,,People Living with AIDS,RateFlow,//@parameters.0,False,Progression from untreated HIV infection to AIDS.,,,
Hiv,Flow,,,,,,,Model file,Certain,,People Living with AIDS,RateFlow,//@parameters.0,False,Progression to AIDS due to ART resistance or treatment failure.,,,
Hiv,Parameter,C,,,,,,Model file,Certain,,,,,,Constant recruitment in susceptible populations.,CONSTANT,333,individuals/year
Hiv,Parameter,h,,,,,,Model file,Certain,,,,,,Proportion of men.,CONSTANT,0.48,dimensionless
Hiv,Parameter,c,,,,,,Model file,Certain,,,,,,Proportion of heterosexual men.,CONSTANT,0.92,dimensionless
Hiv,Parameter,p,,,,,,Model file,Certain,,,,,,Proportion of initially treated individuals.,CONSTANT,0.90,dimensionless
Hiv,Parameter,l,,,,,,Model file,Certain,,,,,,Natural mortality rate.,CONSTANT,0.0129,1/year
Hiv,Parameter,d,,,,,,Model file,Certain,,,,,,AIDS-related death rate.,CONSTANT,0.3333,1/year
Hiv,Parameter,a,,,,,,Model file,Certain,,,,,,Departure rate from infected individuals.,CONSTANT,0.3333,1/year
Hiv,Parameter,b_s,,,,,,Model file,Certain,,,,,,Sexual transmission probability parameter for susceptible homosexual men.,CONSTANT,0.02,dimensionless
Hiv,Parameter,b_h,,,,,,Model file,Certain,,,,,,Sexual transmission probability parameter for susceptible women.,CONSTANT,0.44,dimensionless
Hiv,Parameter,b_hw,,,,,,Model file,Certain,,,,,,Sexual transmission probability parameter for homosexual men and women contact.,CONSTANT,0.018,dimensionless
Hiv,Parameter,b_hm,,,,,,Model file,Certain,,,,,,Sexual transmission probability parameter for homosexual men and heterosexual men contact.,CONSTANT,0.25,dimensionless
Hiv,Parameter,c_s,,,,,,Model file,Certain,,,,,,Sexual partner rate for susceptible homosexual men.,CONSTANT,4,1/year
Hiv,Parameter,c_h,,,,,,Model file,Certain,,,,,,Sexual partner rate for susceptible women.,CONSTANT,7,1/year
Hiv,Parameter,C_hw,,,,,,Model file,Certain,,,,,,Sexual partner rate for homosexual men with women.,CONSTANT,2,1/year
Hiv,Parameter,C_hm,,,,,,Model file,Certain,,,,,,Sexual partner rate for homosexual men with heterosexual men.,CONSTANT,1,1/year
