Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Hiv3,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv3,Compartment,Infectious Untreated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv3,Compartment,Infectious Treated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv3,Flow,,,,,,,Model file,Certain,,Infectious Untreated,RateFlow,//@parameters.9,False,Transmission of HIV from infectious individuals (both treated and untreated) to susceptible individuals.,,,
Hiv3,Flow,,,,,,,Model file,Certain,,Infectious Treated,RateFlow,//@parameters.9,False,Rate at which untreated individuals are tested and initiate ART.,,,
Hiv3,Flow,,,,,,,Model file,Certain,,Infectious Untreated,RateFlow,//@parameters.9,False,Rate at which treated individuals drop out of ART.,,,
Hiv3,Parameter,δ,,,,,,Model file,Certain,,,,,,Birth rate,CONSTANT,0.029,/yr
Hiv3,Parameter,μ,,,,,,Model file,Certain,,,,,,Background mortality rate,CONSTANT,0.018,/yr
Hiv3,Parameter,β,,,,,,Model file,Certain,,,,,,Transmission parameter (Initial value),CONSTANT,0.767,/yr
Hiv3,Parameter,ρ,,,,,,Model file,Certain,,,,,,Location parameter for transmission,CONSTANT,0.055,dimensionless
Hiv3,Parameter,ν,,,,,,Model file,Certain,,,,,,Shape parameter for transmission,CONSTANT,0.996,dimensionless
Hiv3,Parameter,ε,,,,,,Model file,Certain,,,,,,Relative transmission on ART,CONSTANT,0.010,dimensionless
Hiv3,Parameter,γ_U,,,,,,Model file,Certain,,,,,,Progression rate for untreated individuals,CONSTANT,0.303,/yr
Hiv3,Parameter,γ_T,,,,,,Model file,Certain,,,,,,Progression rate for treated individuals,CONSTANT,0.165,/yr
Hiv3,Parameter,τ,,,,,,Model file,Certain,,,,,,Intervention timing,CONSTANT,2011,yr
Hiv3,Parameter,r,,,,,,Model file,Certain,,,,,,Intervention rate,CONSTANT,1.00,/yr
Hiv3,Parameter,m,,,,,,Model file,Certain,,,,,,Maximum intervention coverage,CONSTANT,0.90,dimensionless
Hiv3,Parameter,ψ,,,,,,Model file,Certain,,,,,,Testing rate,CONSTANT,1.00,/yr
Hiv3,Parameter,θ,,,,,,Model file,Certain,,,,,,Testing refusal proportion,CONSTANT,0.08,dimensionless
Hiv3,Parameter,ω,,,,,,Model file,Certain,,,,,,Drop-out rate from treatment,CONSTANT,0.015,/yr
Hiv3,Parameter,α,,,,,,Model file,Certain,,,,,,Treatment failure rate,CONSTANT,0.10,/yr
Hiv3,Parameter,φ,,,,,,Model file,Certain,,,,,,Reduction in transmission from other interventions,CONSTANT,0.40,dimensionless
