Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,ParameterType,Value,Unit,Description
Hiv3,Compartment,Susceptible,,0,False,0.0,None,Model file,Certain,,,,,
Hiv3,Compartment,Infectious,,0,False,0.0,None,Model file,Certain,,,,,
Hiv3,Compartment,Treated,,0,False,0.0,None,Model file,Certain,,,,,
Hiv3,Parameter,Birth rate,,,,,,Model file,Certain,,CONSTANT,0.029,/yr,Per-capita birth rate.
Hiv3,Parameter,Background mortality rate,,,,,,Model file,Certain,,CONSTANT,0.018,/yr,Background mortality rate.
Hiv3,Parameter,Transmission parameter,,,,,,Model file,Certain,,CONSTANT,0.767,/yr,Initial value of the transmission parameter.
Hiv3,Parameter,Transmission parameter location,,,,,,Model file,Certain,,CONSTANT,0.055,dimensionless,Location parameter for transmission parameter distribution.
Hiv3,Parameter,Transmission parameter shape,,,,,,Model file,Certain,,CONSTANT,0.996,dimensionless,Shape parameter for transmission parameter distribution.
Hiv3,Parameter,Relative transmission on ART,,,,,,Model file,Certain,,CONSTANT,0.010,dimensionless,Transmission relative to untreated infection while on ART.
Hiv3,Parameter,Progression untreated,,,,,,Model file,Certain,,CONSTANT,0.303,/yr,Disease progression rate for untreated infected individuals.
Hiv3,Parameter,Progression treated,,,,,,Model file,Certain,,CONSTANT,0.165,/yr,Disease progression rate for treated infected individuals.
Hiv3,Parameter,Intervention timing,,,,,,Model file,Certain,,CONSTANT,2011,yr,Year when intervention rollout begins.
Hiv3,Parameter,Intervention rate,,,,,,Model file,Certain,,CONSTANT,1.00,/yr,Rate of intervention rollout.
Hiv3,Parameter,Intervention maximum,,,,,,Model file,Certain,,CONSTANT,0.90,dimensionless,Maximum coverage of intervention.
Hiv3,Parameter,Testing rate,,,,,,Model file,Certain,,CONSTANT,1.00,/yr,Rate of HIV testing.
Hiv3,Parameter,Testing refusal,,,,,,Model file,Certain,,CONSTANT,0.08,dimensionless,Proportion refusing testing.
Hiv3,Parameter,Drop-out rate,,,,,,Model file,Certain,,CONSTANT,0.015,/yr,Rate of dropout from treatment.
Hiv3,Parameter,CD4 on/off,,,,,,Model file,Certain,,CONSTANT,Off,indicator,Whether CD4-based treatment initiation is enabled.
Hiv3,Parameter,Failure rate,,,,,,Model file,Certain,,CONSTANT,0.10,/yr,Treatment failure rate.
Hiv3,Parameter,Reduction in transmission,,,,,,Model file,Certain,,CONSTANT,0.40,dimensionless,Other intervention effect reducing transmission.
Hiv3,Parameter,Acute phase duration,,,,,,Model file,Certain,,CONSTANT,2,months,Duration of acute phase.
Hiv3,Parameter,Acute phase infectivity,,,,,,Model file,Certain,,CONSTANT,4.50,number/year,Infectivity during acute phase.
Hiv3,Parameter,Chronic phase infectivity,,,,,,Model file,Certain,,CONSTANT,0.45,number/year,Infectivity during chronic phase.
Hiv3,Parameter,Final phase infectivity,,,,,,Model file,Certain,,CONSTANT,2.25,number/year,Infectivity during final phase.
Hiv3,Parameter,Final phase duration,,,,,,Model file,Certain,,CONSTANT,0.15,proportion of expected life,Duration of final phase as a proportion of expected life.
Hiv3,Parameter,Concurrency number,,,,,,Model file,Certain,,CONSTANT,4,number,Number of concurrent partnerships.
Hiv3,Parameter,Partnership duration,,,,,,Model file,Certain,,CONSTANT,6,months,Mean duration of a partnership.
Hiv3,Parameter,Start ART CD4,,,,,,Model file,Certain,,CONSTANT,0,/micro-litre,CD4 threshold for starting ART in the table as presented.
Hiv3,Parameter,Monte Carlo repeats,,,,,,Model file,Certain,,CONSTANT,10000,number,Number of Monte Carlo simulation repeats.
