Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Hiv,Compartment,Susceptible Homosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Untreated Infected Homosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Susceptible Women,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Untreated Infected Women,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Susceptible Heterosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Untreated Infected Heterosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Treated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,People with AIDS,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Hiv,Flow,,,,,,,Model file,Certain,,Untreated Infected Homosexual Men,RateFlow,//@parameters.0,False,Infection of susceptible homosexual men through contact with untreated infected homosexual men or untreated infected women.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated,RateFlow,//@parameters.0,False,Departure from infected class to begin antiretroviral therapy.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Untreated Infected Women,RateFlow,//@parameters.0,False,Infection of susceptible women through contact with untreated infected homosexual men or untreated infected heterosexual men.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated,RateFlow,//@parameters.0,False,Departure from infected class to begin antiretroviral therapy.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Untreated Infected Heterosexual Men,RateFlow,//@parameters.0,False,Infection of susceptible heterosexual men through contact with untreated infected women.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated,RateFlow,//@parameters.0,False,Departure from infected class to begin antiretroviral therapy.,,,
Hiv,Flow,,,,,,,Model file,Certain,,People with AIDS,RateFlow,//@parameters.0,False,AIDS development rate in treated individuals due to ART resistance or treatment failure.,,,
Hiv,Parameter,C,,,,,,Model file,Certain,,,,,,Constant recruitment in susceptible populations,CONSTANT,333,Individuals/year
Hiv,Parameter,h,,,,,,Model file,Certain,,,,,,Proportion of men,CONSTANT,0.48,Nondimensional
Hiv,Parameter,c,,,,,,Model file,Certain,,,,,,Proportion of heterosexual men,CONSTANT,0.92,Nondimensional
Hiv,Parameter,p,,,,,,Model file,Certain,,,,,,Proportion of initially treated individuals,CONSTANT,0.90,Nondimensional
Hiv,Parameter,l,,,,,,Model file,Certain,,,,,,Natural mortality rate,CONSTANT,0.0129,1/year
Hiv,Parameter,d,,,,,,Model file,Certain,,,,,,Induced disease mortality rate (for people with AIDS),CONSTANT,0.3333,1/year
Hiv,Parameter,a,,,,,,Model file,Certain,,,,,,Departure rate from infected compartments (to treatment),CONSTANT,0.3333,1/year
Hiv,Parameter,b_s,,,,,,Model file,Certain,,,,,,Probability of sexual transmission (heterosexual),CONSTANT,0.02,Nondimensional
Hiv,Parameter,b_h,,,,,,Model file,Certain,,,,,,Probability of sexual transmission (homosexual),CONSTANT,0.44,Nondimensional
Hiv,Parameter,b_hw,,,,,,Model file,Certain,,,,,,Probability of sexual transmission (from infected women to homosexual men),CONSTANT,0.018,Nondimensional
Hiv,Parameter,b_hm,,,,,,Model file,Certain,,,,,,Probability of sexual transmission (from infected homosexual men to women),CONSTANT,0.25,Nondimensional
Hiv,Parameter,c_s,,,,,,Model file,Certain,,,,,,Sexual partner rate (heterosexual),CONSTANT,4,1/year
Hiv,Parameter,c_h,,,,,,Model file,Certain,,,,,,Sexual partner rate (homosexual),CONSTANT,7,1/year
Hiv,Parameter,c_hw,,,,,,Model file,Certain,,,,,,Sexual partner rate (homosexual men with women),CONSTANT,2,1/year
Hiv,Parameter,c_hm,,,,,,Model file,Certain,,,,,,Sexual partner rate (homosexual men with women),CONSTANT,1,1/year
