Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Hiv,Compartment,Susceptible Homosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Untreated Infected Homosexual Men,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Susceptible Women,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Untreated Infected Women,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Susceptible Heterosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Untreated Infected Heterosexual Men,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Treated with Antiretrovirals,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,People Living with AIDS,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Hiv,Flow,,,,,,,Model file,Certain,,Untreated Infected Homosexual Men,RateFlow,//@parameters.0,False,Infection through homosexual contact,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated with Antiretrovirals,RateFlow,//@parameters.6,False,Transition to treatment,,,
Hiv,Flow,,,,,,,Model file,Certain,,People Living with AIDS,RateFlow,//@parameters.1,False,Progression to AIDS without treatment,,,
Hiv,Flow,,,,,,,Model file,Certain,,Untreated Infected Women,RateFlow,//@parameters.0,False,Infection through heterosexual contact with infected men,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated with Antiretrovirals,RateFlow,//@parameters.6,False,Transition to treatment,,,
Hiv,Flow,,,,,,,Model file,Certain,,People Living with AIDS,RateFlow,//@parameters.1,False,Progression to AIDS without treatment,,,
Hiv,Flow,,,,,,,Model file,Certain,,Untreated Infected Heterosexual Men,RateFlow,//@parameters.0,False,Infection through heterosexual contact with infected women,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated with Antiretrovirals,RateFlow,//@parameters.6,False,Transition to treatment,,,
Hiv,Flow,,,,,,,Model file,Certain,,People Living with AIDS,RateFlow,//@parameters.1,False,Progression to AIDS without treatment,,,
Hiv,Flow,,,,,,,Model file,Certain,,People Living with AIDS,RateFlow,//@parameters.3,False,Progression to AIDS despite treatment,,,
Hiv,Parameter,C,,,,,,Model file,Certain,,,,,,Constant recruitment in susceptible populations,CONSTANT,333,Individuals/year
Hiv,Parameter,h,,,,,,Model file,Certain,,,,,,Proportion of men,CONSTANT,0.48,Nondimensional
Hiv,Parameter,c,,,,,,Model file,Certain,,,,,,Proportion of heterosexual men,CONSTANT,0.92,Nondimensional
Hiv,Parameter,p,,,,,,Model file,Certain,,,,,,Proportion of initially treated individuals,CONSTANT,0.90,Nondimensional
Hiv,Parameter,l,,,,,,Model file,Certain,,,,,,Natural mortality rate,CONSTANT,0.0129,1/year
Hiv,Parameter,d,,,,,,Model file,Certain,,,,,,AIDS development rate in treated individuals,CONSTANT,0.3333,1/year
Hiv,Parameter,a,,,,,,Model file,Certain,,,,,,Departure rate from infected compartments,CONSTANT,0.3333,1/year
Hiv,Parameter,b_s,,,,,,Model file,Certain,,,,,,Probability of sexual transmission for susceptible,CONSTANT,0.02,Nondimensional
Hiv,Parameter,b_h,,,,,,Model file,Certain,,,,,,Probability of sexual transmission for homosexual men,CONSTANT,0.44,Nondimensional
Hiv,Parameter,b_hw,,,,,,Model file,Certain,,,,,,Probability of sexual transmission for heterosexual women,CONSTANT,0.018,Nondimensional
Hiv,Parameter,b_hm,,,,,,Model file,Certain,,,,,,Probability of sexual transmission for heterosexual men,CONSTANT,0.25,Nondimensional
Hiv,Parameter,c_s,,,,,,Model file,Certain,,,,,,Sexual partner rate for susceptible,CONSTANT,4,1/year
Hiv,Parameter,c_h,,,,,,Model file,Certain,,,,,,Sexual partner rate for homosexual men,CONSTANT,7,1/year
Hiv,Parameter,C_hw,,,,,,Model file,Certain,,,,,,Sexual partner rate for heterosexual women,CONSTANT,2,1/year
Hiv,Parameter,C_hm,,,,,,Model file,Certain,,,,,,Sexual partner rate for heterosexual men,CONSTANT,1,1/year
