Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Influenza2,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza2,Compartment,Infectious,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Influenza2,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Influenza2,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.3,False,Infection/transmission from susceptible to infectious individuals.,,,
Influenza2,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.3,False,Recovery/removal from the infectious state.,,,
Influenza2,Parameter,R0,,,,,,Model file,Certain,,,,,,Basic reproduction number explored for pandemic influenza; moderate scenario 1.7 and high scenario 2.0.,CONSTANT,1.4 to 2.0,dimensionless
Influenza2,Parameter,Generation time,,,,,,Model file,Certain,,,,,,Assumed generation time for the pandemic influenza simulations.,CONSTANT,2.6,days
Influenza2,Parameter,Clinical fraction,,,,,,Model file,Certain,,,,,,Assumed proportion of infected individuals ill enough to be classified as clinical cases.,CONSTANT,50%,proportion
Influenza2,Parameter,Household transmission proportion,,,,,,Model file,Certain,,,,,,Estimated proportion of transmission occurring within households in the United States model.,CONSTANT,30%,proportion
Influenza2,Parameter,Non-household transmission proportion,,,,,,Model file,Certain,,,,,,Estimated proportion of transmission occurring outside the household in the United States model.,CONSTANT,70%,proportion
Influenza2,Parameter,Community transmission proportion,,,,,,Model file,Certain,,,,,,Assumed share of non-household transmission occurring in the general community.,CONSTANT,33% of non-household transmission,proportion
Influenza2,Parameter,School/workplace transmission proportion,,,,,,Model file,Certain,,,,,,Assumed share of non-household transmission occurring in schools and workplaces.,CONSTANT,37% of non-household transmission,proportion
