Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Malaria2,Compartment,Susceptible Humans,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria2,Compartment,Treated Clinical Disease,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria2,Compartment,Untreated Clinical Disease,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria2,Compartment,Prophylaxis,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria2,Compartment,Asymptomatic Patent Infection,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria2,Compartment,Asymptomatic Sub-patent Infection,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria2,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria2,Compartment,Latent Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria2,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Malaria2,Flow,,,,,,,Model file,Certain,,Treated Clinical Disease,RateFlow,//@parameters.0,False,"Infection from infectious mosquito bite leading to clinical disease with probability φ, followed by successful treatment with probability fT",,,
Malaria2,Flow,,,,,,,Model file,Certain,,Untreated Clinical Disease,RateFlow,//@parameters.0,False,"Infection from infectious mosquito bite leading to clinical disease with probability φ, treatment failure with probability (1-fT)",,,
Malaria2,Flow,,,,,,,Model file,Certain,,Asymptomatic Patent Infection,RateFlow,//@parameters.0,False,Infection from infectious mosquito bite leading to asymptomatic patent infection with probability (1-φ),,,
Malaria2,Flow,,,,,,,Model file,Certain,,Prophylaxis,RateFlow,//@parameters.2,False,Recovery from treated clinical disease to prophylactic protection at rate rT,,,
Malaria2,Flow,,,,,,,Model file,Certain,,Asymptomatic Patent Infection,RateFlow,//@parameters.4,False,Clearance of clinical disease to patent asymptomatic infection at rate rD,,,
Malaria2,Flow,,,,,,,Model file,Certain,,Treated Clinical Disease,RateFlow,0.0,False,Superinfection: new infection in presence of existing untreated clinical disease leading to treated clinical disease,,,
