Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Malaria,Compartment,Susceptible Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Vaccinated Humans,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Vector Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Non-Vector Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Treated Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Recovered Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Exposed Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Malaria,Flow,,,,,,,Model file,Certain,,Vector Exposed Humans,RateFlow,//@parameters.15,False,Vector-borne transmission from infectious mosquitoes to susceptible humans at rate β2 = η_S * I_M,,,
Malaria,Flow,,,,,,,Model file,Certain,,Non-Vector Exposed Humans,RateFlow,//@parameters.17,False,Non-vector transmission from infectious humans to susceptible humans at rate α2 = ξ_S * I_H,,,
Malaria,Flow,,,,,,,Model file,Certain,,Susceptible Humans,RateFlow,//@parameters.6,False,Loss of vaccine immunity at rate θ,,,
Malaria,Flow,,,,,,,Model file,Certain,,Vector Exposed Humans,RateFlow,//@parameters.5,False,Vector-borne transmission from infectious mosquitoes to vaccinated humans at rate β1*ε = η_V * I_M * ε,,,
Malaria,Flow,,,,,,,Model file,Certain,,Non-Vector Exposed Humans,RateFlow,//@parameters.16,False,Non-vector transmission from infectious humans to vaccinated humans at rate α1 = ξ_V * I_H,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.7,False,Progression from vector-exposed to infectious at rate τ1,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.8,False,Progression from non-vector-exposed to infectious at rate τ2,,,
