Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Malaria,Compartment,Susceptible Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Vaccinated Humans,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Vector-Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Non-Vector-Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Treated Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Recovered Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Exposed Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Malaria,Flow,,,,,,,Model file,Certain,,Vector-Exposed Humans,RateFlow,//@parameters.5,False,Infection of susceptible humans by infectious mosquitoes at rate β2,,,
Malaria,Flow,,,,,,,Model file,Certain,,Non-Vector-Exposed Humans,RateFlow,//@parameters.5,False,Non-vector infection of susceptible humans by infectious humans at rate α2,,,
Malaria,Flow,,,,,,,Model file,Certain,,Susceptible Humans,RateFlow,//@parameters.3,False,Loss of vaccine-induced immunity at rate θ,,,
Malaria,Flow,,,,,,,Model file,Certain,,Vector-Exposed Humans,RateFlow,//@parameters.1,False,Breakthrough infection of vaccinated humans by infectious mosquitoes at rate β1ε,,,
Malaria,Flow,,,,,,,Model file,Certain,,Non-Vector-Exposed Humans,RateFlow,//@parameters.1,False,Non-vector breakthrough infection of vaccinated humans by infectious humans at rate α1,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.9,False,Progression from vector-exposed to infectious at rate τ1,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.10,False,Progression from non-vector-exposed to infectious at rate τ2,,,
Malaria,Flow,,,,,,,Model file,Certain,,Treated Humans,RateFlow,//@parameters.12,False,Progression from infectious to treated at rate σ,,,
