Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description
Malaria,Compartment,Susceptible Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Malaria,Compartment,Vaccinated Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Malaria,Compartment,Vector Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Malaria,Compartment,Non-Vector Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Malaria,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Malaria,Compartment,Treated Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Malaria,Compartment,Recovered Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Malaria,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Malaria,Compartment,Exposed Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Malaria,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,
Malaria,Flow,,,,,,,Model file,Certain,,Vector Exposed Humans,RateFlow,0.0,False,Humans become exposed to malaria through contact with infectious mosquitoes.
Malaria,Flow,,,,,,,Model file,Certain,,Non-Vector Exposed Humans,RateFlow,0.0,False,Humans become exposed to malaria through non-vector means such as blood transfusion.
Malaria,Flow,,,,,,,Model file,Certain,,Vector Exposed Humans,RateFlow,0.0,False,Vaccinated humans become exposed to malaria through contact with infectious mosquitoes.
Malaria,Flow,,,,,,,Model file,Certain,,Non-Vector Exposed Humans,RateFlow,0.0,False,Vaccinated humans become exposed to malaria through non-vector means.
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,0.0,False,Vector exposed humans progress to become infectious.
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,0.0,False,Non-vector exposed humans progress to become infectious.
Malaria,Flow,,,,,,,Model file,Certain,,Treated Humans,RateFlow,0.0,False,Infectious humans receive treatment.
Malaria,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,0.0,False,Treated humans recover from malaria.
Malaria,Flow,,,,,,,Model file,Certain,,Susceptible Humans,RateFlow,0.0,False,Recovered humans lose immunity and become susceptible again.
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Mosquitoes,RateFlow,0.0,False,Susceptible mosquitoes become exposed to malaria through contact with infectious humans.
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,0.0,False,Exposed mosquitoes progress to become infectious.
