Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Malaria,Compartment,Susceptible Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Vaccinated Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Vector Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Non-Vector Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Treated Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Recovered Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Exposed Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Malaria,Flow,,,,,,,Model file,Certain,,Vector Exposed Humans,RateFlow,//@parameters.6,False,Humans become exposed through contact with infectious mosquitoes.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Non-Vector Exposed Humans,RateFlow,//@parameters.6,False,Humans become exposed through non-vector means such as blood transfusions.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Vector Exposed Humans,RateFlow,//@parameters.6,False,Vaccinated humans become exposed through contact with infectious mosquitoes.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Non-Vector Exposed Humans,RateFlow,//@parameters.6,False,Vaccinated humans become exposed through non-vector means.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.6,False,Exposed humans progress to become infectious.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.6,False,Non-vector exposed humans progress to become infectious.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Treated Humans,RateFlow,//@parameters.12,False,Infectious humans receive treatment.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.9,False,Treated humans recover from malaria.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Susceptible Humans,RateFlow,//@parameters.9,False,Recovered humans lose immunity and become susceptible again.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Mosquitoes,RateFlow,//@parameters.6,False,Mosquitoes become exposed through contact with infectious humans.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,//@parameters.6,False,Exposed mosquitoes progress to become infectious.,,,
Malaria,Parameter,Human Population Birth Rate,,,,,,Model file,Certain,,,,,,Rate at which new humans are born.,CONSTANT,0.012,per day
Malaria,Parameter,Vaccination Rate,,,,,,Model file,Certain,,,,,,Proportion of newborns that are vaccinated.,CONSTANT,0.60-0.90,
Malaria,Parameter,Human Population Natural Death Rate,,,,,,Model file,Certain,,,,,,Natural death rate of humans.,CONSTANT,0.0002,per day
Malaria,Parameter,Mosquito Population Natural Death Rate,,,,,,Model file,Certain,,,,,,Natural death rate of mosquitoes.,CONSTANT,0.1,per day
Malaria,Parameter,Rate of Vaccine Immunity Loss,,,,,,Model file,Certain,,,,,,Rate at which vaccinated humans lose immunity.,CONSTANT,0.1-0.2,per day
Malaria,Parameter,Rate of Vaccine Efficacy,,,,,,Model file,Certain,,,,,,Efficacy of the vaccine in preventing infection.,CONSTANT,0.3-0.5,
Malaria,Parameter,Progression Rate from Exposed to Infectious (Vector),,,,,,Model file,Certain,,,,,,Rate at which vector-exposed humans become infectious.,CONSTANT,0.05,per day
Malaria,Parameter,Progression Rate from Exposed to Infectious (Non-Vector),,,,,,Model file,Certain,,,,,,Rate at which non-vector exposed humans become infectious.,CONSTANT,0.05,per day
Malaria,Parameter,Progression Rate from Infected to Treated,,,,,,Model file,Certain,,,,,,Rate at which infectious humans receive treatment.,CONSTANT,0.10,per day
Malaria,Parameter,Progression Rate from Treated to Recovered,,,,,,Model file,Certain,,,,,,Rate at which treated humans recover.,CONSTANT,0.05,per day
Malaria,Parameter,Rate of Immunity Loss,,,,,,Model file,Certain,,,,,,Rate at which recovered humans lose immunity.,CONSTANT,0.01,per day
Malaria,Parameter,Malaria Disease Death Rate,,,,,,Model file,Certain,,,,,,Death rate due to malaria.,CONSTANT,0.002,per day
Malaria,Parameter,Effective Contact Rate of Susceptible Humans with Infected Mosquitoes,,,,,,Model file,Certain,,,,,,Rate of contact between susceptible humans and infected mosquitoes.,CONSTANT,0.005-0.02,per day
Malaria,Parameter,Effective Contact Rate of Vaccinated Humans with Infected Mosquitoes,,,,,,Model file,Certain,,,,,,Rate of contact between vaccinated humans and infected mosquitoes.,CONSTANT,0.001-0.005,per day
Malaria,Parameter,Effective Contact Rate of Susceptible Humans with Infected Humans (Non-Vector),,,,,,Model file,Certain,,,,,,Rate of contact between susceptible humans and infected humans through non-vector pathways.,CONSTANT,0.001-0.003,per day
Malaria,Parameter,Effective Contact Rate of Vaccinated Humans with Infected Humans (Non-Vector),,,,,,Model file,Certain,,,,,,Rate of contact between vaccinated humans and infected humans through non-vector pathways.,CONSTANT,0.0005-0.002,per day
Malaria,Parameter,Effective Contact Rate of Susceptible Mosquitoes with Infected Humans,,,,,,Model file,Certain,,,,,,Rate of contact between susceptible mosquitoes and infected humans.,CONSTANT,0.01-0.05,per mosquito
Malaria,Parameter,Mosquito Population Birth Rate,,,,,,Model file,Certain,,,,,,Rate at which new mosquitoes are born.,CONSTANT,0.02,per day
Malaria,Parameter,Mosquitoes Population Progression Rate from Exposed to Infectious,,,,,,Model file,Certain,,,,,,Rate at which exposed mosquitoes become infectious.,CONSTANT,0.10,per day
