Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Measles2,Compartment,Maternally Immune,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles2,Compartment,Susceptible,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Measles2,Compartment,Exposed,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles2,Compartment,Infectious,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles2,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles2,Compartment,Vaccinated (1 dose),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles2,Compartment,Vaccinated (2 doses),,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles2,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,0.0,False,Loss of maternal immunity.,,,
Measles2,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,//@parameters.3,False,Infection of susceptible individuals through contact with infected individuals.,,,
Measles2,Flow,,,,,,,Model file,Certain,,Vaccinated (1 dose),RateFlow,0.0,False,Administration of the first dose of vaccine (MMR1).,,,
Measles2,Flow,,,,,,,Model file,Certain,,Vaccinated (2 doses),RateFlow,0.0,False,Administration of the second dose of vaccine (MMR2).,,,
Measles2,Parameter,primary vaccine failure,,,,,,Model file,Certain,,,,,,The risk of primary vaccine failure estimated by the model in the reference scenario without waning.,CONSTANT,5.2,%
Measles2,Parameter,infection rate,,,,,,Model file,Certain,,,,,,Parameter drawn from model fits to determine the rate of infection.,CONSTANT,Not specified,Not specified
Measles2,Parameter,duration of maternal immunity,,,,,,Model file,Certain,,,,,,Parameter drawn from model fits for the duration of passive immunity in newborns.,CONSTANT,Not specified,Not specified
Measles2,Parameter,parameters for seasonality of transmission,,,,,,Model file,Certain,,,,,,Parameters drawn from model fits to account for seasonality in transmission.,CONSTANT,Not specified,Not specified
Measles2,Parameter,importation,,,,,,Model file,Certain,,,,,,Parameter drawn from model fits for the importation of cases.,CONSTANT,Not specified,Not specified
Measles2,Parameter,report rate of imported cases,,,,,,Model file,Certain,,,,,,Parameter drawn from model fits for the reporting rate of imported cases.,CONSTANT,Not specified,Not specified
Measles2,Parameter,vaccine effectiveness,,,,,,Model file,Certain,,,,,,"Parameter drawn from model fits for vaccine effectiveness, related to primary vaccine failure.",CONSTANT,Not specified,Not specified
Measles2,Parameter,existing immunity in older generations,,,,,,Model file,Certain,,,,,,Parameter drawn from model fits for pre-existing immunity in older age groups.,CONSTANT,Not specified,Not specified
Measles2,Parameter,parameters of spatial spread,,,,,,Model file,Certain,,,,,,Parameters drawn from model fits to govern the spatial spread of measles.,CONSTANT,Not specified,Not specified
