Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Measles2,Compartment,Susceptible,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Measles2,Compartment,Exposed,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles2,Compartment,Infectious,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles2,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles2,Compartment,Single Vaccinated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles2,Compartment,Double Vaccinated,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles2,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,//@parameters.0,False,Measles infection through transmission/contact.,,,
Measles2,Flow,,,,,,,Model file,Certain,,Single Vaccinated,RateFlow,0.0,False,Receipt of the first measles-containing vaccine dose.,,,
Measles2,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.0,False,Progression from latent infection to infectiousness.,,,
Measles2,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.0,False,Recovery from infection with acquisition of immunity.,,,
Measles2,Flow,,,,,,,Model file,Certain,,Double Vaccinated,RateFlow,0.0,False,Receipt of the second measles-containing vaccine dose.,,,
Measles2,Parameter,infection rate,,,,,,Model file,Certain,,,,,,Transmission intensity parameter used in the fitted transmission model.,CONSTANT,estimated from model fitting,not stated
Measles2,Parameter,duration of maternal immunity,,,,,,Model file,Certain,,,,,,Average duration of maternally derived protection before susceptibility.,CONSTANT,estimated from model fitting,not stated
Measles2,Parameter,seasonality of transmission,,,,,,Model file,Certain,,,,,,Parameters governing seasonal variation in measles transmission.,CONSTANT,estimated from model fitting,not stated
Measles2,Parameter,importation parameters,,,,,,Model file,Certain,,,,,,Parameters governing imported measles cases and their reporting.,CONSTANT,estimated from model fitting,not stated
Measles2,Parameter,report rate of imported cases,,,,,,Model file,Certain,,,,,,Probability that imported cases are reported.,CONSTANT,estimated from model fitting,not stated
Measles2,Parameter,vaccine effectiveness,,,,,,Model file,Certain,,,,,,Effectiveness of measles vaccination in preventing infection/clinical disease.,CONSTANT,estimated from model fitting,not stated
Measles2,Parameter,existing immunity in older generations,,,,,,Model file,Certain,,,,,,Background immunity among older age groups.,CONSTANT,estimated from model fitting,not stated
Measles2,Parameter,parameters of spatial spread,,,,,,Model file,Certain,,,,,,Parameters describing geographic spread between regions.,CONSTANT,estimated from model fitting,not stated
Measles2,Parameter,waning rate,,,,,,Model file,Certain,,,,,,Rate of waning of vaccine-induced immunity in the sensitivity analysis with waning.,CONSTANT,estimated from previous work,not stated
Measles2,Parameter,MMR1 coverage increase,,,,,,Model file,Certain,,,,,,Scenario changes in annual first-dose coverage.,CONSTANT,"0.25%, 0.5%, 1%",absolute percentage points
Measles2,Parameter,MMR2 coverage increase,,,,,,Model file,Certain,,,,,,Scenario changes in annual second-dose coverage.,CONSTANT,up to 3%,absolute percentage points
Measles2,Parameter,MMR2 schedule age,,,,,,Model file,Certain,,,,,,Alternative second-dose timing used in simulations instead of 3 years and 4 months.,CONSTANT,2 years,years
Measles2,Parameter,MMR2 school-entry age,,,,,,Model file,Certain,,,,,,Alternative second-dose timing at school entry.,CONSTANT,5 years,years
Measles2,Parameter,current MMR2 schedule age,,,,,,Model file,Certain,,,,,,Reference second-dose timing in England.,CONSTANT,3 years and 4 months,years and months
Measles2,Parameter,MMR1 schedule age,,,,,,Model file,Certain,,,,,,Reference first-dose timing in England.,CONSTANT,1 year,years
