Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Measles3,Compartment,Maternally Protected,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles3,Compartment,Susceptible,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Measles3,Compartment,Latent,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles3,Compartment,Infectious,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles3,Compartment,Immune,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles3,Compartment,Vaccine Failure,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles3,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,0.0,False,Loss of passive maternal antibody protection over the first year of life,,,
Measles3,Flow,,,,,,,Model file,Certain,,Latent,RateFlow,0.0,False,"Infection of susceptibles through contact with infectious individuals, at age-specific force of infection",,,
Measles3,Flow,,,,,,,Model file,Certain,,Immune,RateFlow,0.0,False,Successful vaccination of susceptibles (proportion p) leading to lasting immunity,,,
Measles3,Flow,,,,,,,Model file,Certain,,Vaccine Failure,RateFlow,0.0,False,Vaccination of susceptibles who fail to gain effective protection (proportion 1-p),,,
Measles3,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.8,False,Progression from latent to infectious period,,,
Measles3,Flow,,,,,,,Model file,Certain,,Immune,RateFlow,//@parameters.9,False,Recovery from infection establishing lasting immunity,,,
Measles3,Flow,,,,,,,Model file,Certain,,Latent,RateFlow,0.0,False,"Infection of vaccine failures through contact with infectious individuals, following the same course as susceptibles",,,
Measles3,Parameter,Force of infection (age 0-1),,,,,,Model file,Certain,,,,,,"Age-specific force of infection for age group 0-1 years, estimated from pre-vaccination notification data",CONSTANT,0.0690,per person per year
Measles3,Parameter,Force of infection (age 1-2),,,,,,Model file,Certain,,,,,,Age-specific force of infection for age group 1-2 years,CONSTANT,0.1075,per person per year
Measles3,Parameter,Force of infection (age 2-3),,,,,,Model file,Certain,,,,,,Age-specific force of infection for age group 2-3 years,CONSTANT,0.1572,per person per year
Measles3,Parameter,Force of infection (age 3-4),,,,,,Model file,Certain,,,,,,Age-specific force of infection for age group 3-4 years,CONSTANT,0.2005,per person per year
Measles3,Parameter,Force of infection (age 4-5),,,,,,Model file,Certain,,,,,,Age-specific force of infection for age group 4-5 years,CONSTANT,0.2582,per person per year
Measles3,Parameter,Force of infection (age 5-10),,,,,,Model file,Certain,,,,,,Age-specific force of infection for age group 5-10 years,CONSTANT,0.5167,per person per year
Measles3,Parameter,Force of infection (age 10-15),,,,,,Model file,Certain,,,,,,Age-specific force of infection for age group 10-15 years,CONSTANT,0.2549,per person per year
Measles3,Parameter,Force of infection (age 15-75),,,,,,Model file,Certain,,,,,,Age-specific force of infection for age group 15-75 years,CONSTANT,0.0989,per person per year
Measles3,Parameter,Rate of progression from latency,,,,,,Model file,Certain,,,,,,Rate of progression from latent to infectious class; average latent period of 7 days,CONSTANT,52.14,per person per year
Measles3,Parameter,Rate of recovery from infection,,,,,,Model file,Certain,,,,,,Rate of recovery from infectious class; average infectious period of 7 days,CONSTANT,52.14,per person per year
Measles3,Parameter,Rate of loss of passive immunity,,,,,,Model file,Certain,,,,,,Rate of loss of maternal antibody protection; average duration of maternal protection is 3 months,CONSTANT,4.0,per person per year
Measles3,Parameter,Vaccine efficacy (p),,,,,,Model file,Certain,,,,,,Proportion of vaccinated susceptibles who gain lasting immunity and are no longer able to transmit infection,CONSTANT,0.90,dimensionless
Measles3,Parameter,Birth rate,,,,,,Model file,Certain,,,,,,Fixed annual birth cohort size approximating births in England and Wales over the study period,CONSTANT,666666,per year
Measles3,Parameter,Background death rate (adults),,,,,,Model file,Certain,,,,,,Background death rate for the residual adult age group (1/60 per person per year),CONSTANT,0.0167,per person per year
Measles3,Parameter,Average duration of latent period,,,,,,Model file,Certain,,,,,,Average duration of the latent (pre-patent) period,CONSTANT,7,days
Measles3,Parameter,Average duration of infectious period,,,,,,Model file,Certain,,,,,,Average duration of the infectious period,CONSTANT,7,days
Measles3,Parameter,Average duration of maternal protection,,,,,,Model file,Certain,,,,,,Average duration of passive maternal antibody protection,CONSTANT,3,months
