Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Measles,Compartment,Susceptible Children,,0,False,5.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Susceptible Adults,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Un-monitored Vaccinated Children,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Un-monitored Vaccinated Adults,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Adult Vaccination Group,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Monitored Vaccinated Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Exposed Children,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Exposed Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Infectious Children,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Infectious Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Immune Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Immune Adults,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Flow,,,,,,,Model file,Certain,,Un-monitored Vaccinated Children,RateFlow,//@parameters.0,False,Un-monitored vaccination of susceptible children at rate x_U,,,
Measles,Flow,,,,,,,Model file,Certain,,Monitored Vaccinated Children,RateFlow,//@parameters.0,False,Monitored vaccination of susceptible children at rate x_M,,,
Measles,Flow,,,,,,,Model file,Certain,,Susceptible Adults,RateFlow,//@parameters.0,False,Maturation of susceptible children to adults at rate j,,,
Measles,Flow,,,,,,,Model file,Certain,,Exposed Children,RateFlow,//@parameters.0,False,Infection of susceptible children by contact with infectious children and adults at rate b_C*(I_C+I_A)*S_C,,,
Measles,Flow,,,,,,,Model file,Certain,,Susceptible Children,RateFlow,//@parameters.0,False,Recruitment of newborns into susceptible children at rate L,,,
Measles,Flow,,,,,,,Model file,Certain,,Adult Vaccination Group,RateFlow,//@parameters.0,False,Adult vaccination at rate x_A,,,
Measles,Flow,,,,,,,Model file,Certain,,Exposed Adults,RateFlow,//@parameters.0,False,Infection of susceptible adults by contact with infectious children and adults at rate b_A*(I_C+I_A)*S_A,,,
Measles,Flow,,,,,,,Model file,Certain,,Exposed Children,RateFlow,//@parameters.0,False,Infection of un-monitored vaccinated children at reduced rate e*b_C*(I_C+I_A)*UV_C,,,
Measles,Flow,,,,,,,Model file,Certain,,Un-monitored Vaccinated Adults,RateFlow,//@parameters.0,False,Maturation of un-monitored vaccinated children to adults at rate j,,,
Measles,Flow,,,,,,,Model file,Certain,,Immune Children,RateFlow,//@parameters.0,False,Immunization of un-monitored vaccinated children at rate h_U,,,
Measles,Flow,,,,,,,Model file,Certain,,Exposed Adults,RateFlow,//@parameters.0,False,Infection of un-monitored vaccinated adults at reduced rate e*b_A*(I_C+I_A)*UV_A,,,
Measles,Flow,,,,,,,Model file,Certain,,Immune Adults,RateFlow,//@parameters.0,False,Immunization of un-monitored vaccinated adults at rate h_A,,,
Measles,Flow,,,,,,,Model file,Certain,,Immune Adults,RateFlow,//@parameters.0,False,Immunization of adult vaccination group at rate h_A,,,
Measles,Flow,,,,,,,Model file,Certain,,Immune Children,RateFlow,//@parameters.0,False,Immunization of monitored vaccinated children at rate h_M,,,
Measles,Flow,,,,,,,Model file,Certain,,Infectious Children,RateFlow,//@parameters.0,False,Progression from exposed to infectious in children at rate d,,,
Measles,Flow,,,,,,,Model file,Certain,,Exposed Adults,RateFlow,//@parameters.0,False,Maturation of exposed children to exposed adults at rate j,,,
Measles,Flow,,,,,,,Model file,Certain,,Infectious Adults,RateFlow,//@parameters.0,False,Progression from exposed to infectious in adults at rate d,,,
Measles,Flow,,,,,,,Model file,Certain,,Immune Children,RateFlow,//@parameters.0,False,Recovery of infectious children at rate g,,,
Measles,Flow,,,,,,,Model file,Certain,,Infectious Adults,RateFlow,//@parameters.0,False,Maturation of infectious children to infectious adults at rate j,,,
Measles,Flow,,,,,,,Model file,Certain,,Immune Adults,RateFlow,//@parameters.0,False,Recovery of infectious adults at rate g,,,
Measles,Flow,,,,,,,Model file,Certain,,Immune Adults,RateFlow,//@parameters.0,False,Maturation of immune children to immune adults at rate j,,,
Measles,Parameter,L,,,,,,Model file,Certain,,,,,,Recruitment rate to children group,CONSTANT,mu * N,persons per week
Measles,Parameter,x_U,,,,,,Model file,Certain,,,,,,Un-monitored children vaccination rate,CONSTANT,0.0087,per week
Measles,Parameter,x_M,,,,,,Model file,Certain,,,,,,Monitored children vaccination rate,CONSTANT,4.77e-5,per week
Measles,Parameter,x_A,,,,,,Model file,Certain,,,,,,Adult vaccination rate,CONSTANT,0,per week
Measles,Parameter,b_C,,,,,,Model file,Certain,,,,,,Transmission rate for children,CONSTANT,0.00188,per person per week
Measles,Parameter,b_A,,,,,,Model file,Certain,,,,,,Transmission rate for adults,CONSTANT,1.00e-5,per person per week
Measles,Parameter,mu,,,,,,Model file,Certain,,,,,,Natural death rate (1/(72*52)),CONSTANT,2.67e-4,per week
Measles,Parameter,g,,,,,,Model file,Certain,,,,,,Rate of being immune after recovery from infection,CONSTANT,0.5,per week
