Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Measles,Compartment,I,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Compartment,Susceptible Children,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Un-monitored Vaccinated Children,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Compartment,Monitored Vaccinated Children,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Flow,,,,,,,Model file,Certain,,Un-monitored Vaccinated Children,RateFlow,//@parameters.1,False,Vaccination of susceptible children into the un-monitored program at rate x_U.,,,
Measles,Flow,,,,,,,Model file,Certain,,Monitored Vaccinated Children,RateFlow,//@parameters.2,False,Vaccination of susceptible children into the monitored program at rate x_M.,,,
Measles,Parameter,range,,,,,,Model file,Certain,,,,,,,CONSTANT,10e14,
Measles,Parameter,x_U,,,,,,Model file,Certain,,,,,,Un-monitored children Vaccination rate,CONSTANT,0.0,
Measles,Parameter,x_M,,,,,,Model file,Certain,,,,,,Monitored children Vaccination rate,CONSTANT,0.0,
Measles,Parameter,x_A,,,,,,Model file,Certain,,,,,,Adult Vaccination rate,CONSTANT,0.0,
Measles,Parameter,b_C,,,,,,Model file,Certain,,,,,,Transmission rate on the children,CONSTANT,0.0,
Measles,Parameter,b_A,,,,,,Model file,Certain,,,,,,Transmission rate on the adults,CONSTANT,0.0,
Measles,Parameter,h_A,,,,,,Model file,Certain,,,,,,Rate of being immune of Un-monitored vaccinated adults,CONSTANT,0.0,
Measles,Parameter,h_U,,,,,,Model file,Certain,,,,,,Rate of being immune of Un-monitored vaccinated children,CONSTANT,0.0,
Measles,Parameter,h_M,,,,,,Model file,Certain,,,,,,Rate of being immune of Monitored vaccinated children,CONSTANT,0.0,
