Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description
Measles,Compartment,Susceptible Children,,0,False,4.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Un-monitored Vaccinated Children,,0,False,3.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Monitored Vaccinated Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Exposed Children,,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Infectious Children,,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Immune Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Susceptible Adults,,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Un-monitored Vaccinated Adults,,0,False,2.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Monitored Vaccinated Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Exposed Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Infectious Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,
Measles,Compartment,Immune Adults,,0,False,0.0,None,Model file,Certain,,,,,,
Measles,Flow,,,,,,,Model file,Certain,,Un-monitored Vaccinated Children,RateFlow,0.0,False,Susceptible children receiving un-monitored vaccination.
Measles,Flow,,,,,,,Model file,Certain,,Monitored Vaccinated Children,RateFlow,0.0,False,Susceptible children receiving monitored vaccination.
Measles,Flow,,,,,,,Model file,Certain,,Exposed Children,RateFlow,0.0,False,Transmission of infection to susceptible children from infectious individuals.
Measles,Flow,,,,,,,Model file,Certain,,Susceptible Adults,RateFlow,0.0,False,Maturation of susceptible children into susceptible adults.
Measles,Flow,,,,,,,Model file,Certain,,Exposed Children,RateFlow,0.0,False,Transmission of infection to un-monitored vaccinated children due to incomplete immunity.
Measles,Flow,,,,,,,Model file,Certain,,Immune Children,RateFlow,0.0,False,Un-monitored vaccinated children acquiring immunity.
Measles,Flow,,,,,,,Model file,Certain,,Un-monitored Vaccinated Adults,RateFlow,0.0,False,Maturation of un-monitored vaccinated children into un-monitored vaccinated adults.
Measles,Flow,,,,,,,Model file,Certain,,Immune Children,RateFlow,0.0,False,Monitored vaccinated children acquiring immunity.
Measles,Flow,,,,,,,Model file,Certain,,Infectious Children,RateFlow,0.0,False,Progression of exposed children to the infectious stage.
Measles,Flow,,,,,,,Model file,Certain,,Exposed Adults,RateFlow,0.0,False,Maturation of exposed children into exposed adults.
Measles,Flow,,,,,,,Model file,Certain,,Immune Children,RateFlow,0.0,False,"Recovery of infectious children, leading to immunity."
Measles,Flow,,,,,,,Model file,Certain,,Infectious Adults,RateFlow,0.0,False,Maturation of infectious children into infectious adults.
Measles,Flow,,,,,,,Model file,Certain,,Immune Adults,RateFlow,0.0,False,Maturation of immune children into immune adults.
Measles,Flow,,,,,,,Model file,Certain,,Exposed Adults,RateFlow,0.0,False,Transmission of infection to susceptible adults from infectious individuals.
Measles,Flow,,,,,,,Model file,Certain,,Monitored Vaccinated Adults,RateFlow,0.0,False,Susceptible adults receiving vaccination.
Measles,Flow,,,,,,,Model file,Certain,,Exposed Adults,RateFlow,0.0,False,Transmission of infection to un-monitored vaccinated adults due to incomplete immunity.
Measles,Flow,,,,,,,Model file,Certain,,Immune Adults,RateFlow,0.0,False,Un-monitored vaccinated adults acquiring immunity.
Measles,Flow,,,,,,,Model file,Certain,,Immune Adults,RateFlow,0.0,False,Monitored vaccinated adults acquiring immunity.
Measles,Flow,,,,,,,Model file,Certain,,Infectious Adults,RateFlow,0.0,False,Progression of exposed adults to the infectious stage.
Measles,Flow,,,,,,,Model file,Certain,,Immune Adults,RateFlow,0.0,False,"Recovery of infectious adults, leading to immunity."
