Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Measles,Compartment,Susceptible Children,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Un-monitored Vaccinated Children,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Compartment,Monitored Vaccinated Children,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Compartment,Exposed Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Infectious Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Immune Children,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Compartment,Susceptible Adults,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Un-monitored Vaccinated Adults,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Compartment,Vaccinated Adults,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Compartment,Exposed Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Infectious Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Immune Adults,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Flow,,,,,,,Model file,Certain,,Un-monitored Vaccinated Children,RateFlow,0.0,False,Children receiving unmonitored vaccination.,,,
Measles,Flow,,,,,,,Model file,Certain,,Monitored Vaccinated Children,RateFlow,0.0,False,Children receiving monitored vaccination.,,,
Measles,Flow,,,,,,,Model file,Certain,,Exposed Children,RateFlow,//@parameters.4,False,Susceptible children becoming exposed through contact with infectious individuals.,,,
Measles,Flow,,,,,,,Model file,Certain,,Infectious Children,RateFlow,//@parameters.4,False,Exposed children becoming infectious.,,,
Measles,Flow,,,,,,,Model file,Certain,,Immune Children,RateFlow,//@parameters.7,False,Infectious children recovering and becoming immune.,,,
Measles,Flow,,,,,,,Model file,Certain,,Un-monitored Vaccinated Adults,RateFlow,0.0,False,Adults receiving unmonitored vaccination.,,,
Measles,Flow,,,,,,,Model file,Certain,,Vaccinated Adults,RateFlow,0.0,False,Adults receiving vaccination.,,,
Measles,Flow,,,,,,,Model file,Certain,,Exposed Adults,RateFlow,//@parameters.4,False,Susceptible adults becoming exposed through contact with infectious individuals.,,,
Measles,Flow,,,,,,,Model file,Certain,,Infectious Adults,RateFlow,//@parameters.4,False,Exposed adults becoming infectious.,,,
Measles,Flow,,,,,,,Model file,Certain,,Immune Adults,RateFlow,//@parameters.7,False,Infectious adults recovering and becoming immune.,,,
Measles,Parameter,Recruitment rate to children group,,,,,,Model file,Certain,,,,,,Rate at which children are recruited into the population.,CONSTANT,L,per week
Measles,Parameter,Un-monitored children Vaccination rate,,,,,,Model file,Certain,,,,,,Rate at which children receive unmonitored vaccination.,CONSTANT,xU,per week
Measles,Parameter,Monitored children Vaccination rate,,,,,,Model file,Certain,,,,,,Rate at which children receive monitored vaccination.,CONSTANT,xM,per week
Measles,Parameter,Adult Vaccination rate,,,,,,Model file,Certain,,,,,,Rate at which adults receive vaccination.,CONSTANT,xA,per week
Measles,Parameter,Transmission rate on the children,,,,,,Model file,Certain,,,,,,Rate of transmission among children.,CONSTANT,bC,per contact
Measles,Parameter,Transmission rate on the adults,,,,,,Model file,Certain,,,,,,Rate of transmission among adults.,CONSTANT,bA,per contact
Measles,Parameter,Natural death rate,,,,,,Model file,Certain,,,,,,Natural death rate of the population.,CONSTANT,m,per week
Measles,Parameter,Rate of being immune after recovery from infection,,,,,,Model file,Certain,,,,,,Rate at which individuals become immune after recovery.,CONSTANT,g,per week
Measles,Parameter,Maturation rate,,,,,,Model file,Certain,,,,,,Rate at which children mature into adults.,CONSTANT,j,per week
Measles,Parameter,Effectiveness of the vaccination,,,,,,Model file,Certain,,,,,,Effectiveness of the vaccination.,CONSTANT,1-e,dimensionless
Measles,Parameter,Rate of being immune of Un-monitored vaccinated adults,,,,,,Model file,Certain,,,,,,Rate at which unmonitored vaccinated adults become immune.,CONSTANT,hA,per week
Measles,Parameter,Rate of being immune of Un-monitored vaccinated children,,,,,,Model file,Certain,,,,,,Rate at which unmonitored vaccinated children become immune.,CONSTANT,hU,per week
Measles,Parameter,Rate of being immune of Monitored vaccinated children,,,,,,Model file,Certain,,,,,,Rate at which monitored vaccinated children become immune.,CONSTANT,hM,per week
Measles,Parameter,Incubation period,,,,,,Model file,Certain,,,,,,Incubation period of measles.,CONSTANT,d,days
Measles,Parameter,Disease induced death,,,,,,Model file,Certain,,,,,,Rate of death induced by the disease.,CONSTANT,d,per week
