Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,ParameterType,Value,Unit,Description
Measles,Compartment,I,,0,False,0.0,None,Model file,Certain,,,,,
Measles,Compartment,Susceptible,,0,False,0.0,None,Model file,Certain,,,,,
Measles,Compartment,Un-monitored Vaccinated,,0,False,0.0,None,Model file,Certain,,,,,
Measles,Compartment,Monitored Vaccinated,,0,False,0.0,None,Model file,Certain,,,,,
Measles,Compartment,Exposed,,0,False,0.0,None,Model file,Certain,,,,,
Measles,Compartment,Infectious,,0,False,0.0,None,Model file,Certain,,,,,
Measles,Compartment,Immune,,0,False,0.0,None,Model file,Certain,,,,,
Measles,Parameter,as follows,,,,,,Model file,Certain,,CONSTANT,0,,
Measles,Parameter,given as,,,,,,Model file,Certain,,CONSTANT,1,,
Measles,Parameter,range,,,,,,Model file,Certain,,CONSTANT,10e14,,
