Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Tuberculosis,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis,Compartment,Vaccinated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis,Compartment,Infectious,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Tuberculosis,Compartment,Recovered,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Vaccinated,RateFlow,//@parameters.0,False,Movement of individuals from the susceptible class to the vaccinated compartment at a constant vaccination rate u.,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,//@parameters.0,False,Transition from the vaccinated compartment back to the susceptible compartment due to vaccine waning at a constant rate θ.,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,//@parameters.0,False,"Transition back to the susceptible compartment from the recovered compartment due to waning immunity, occurring at a constant rate δ.",,,
Tuberculosis,Parameter,A,,,,,,Model file,Certain,,,,,,Recruitment rate of human,CONSTANT,1000 / (65*12),human/month
Tuberculosis,Parameter,β,,,,,,Model file,Certain,,,,,,Probability of successful infection rate,CONSTANT,"[0.01, 5]",1/(year*human)
Tuberculosis,Parameter,ε,,,,,,Model file,Certain,,,,,,Correction parameter for reinfection term,CONSTANT,"[0, 1]",dimensionless
Tuberculosis,Parameter,u,,,,,,Model file,Certain,,,,,,Rate of vaccination,CONSTANT,"[0, 1]",1/day
Tuberculosis,Parameter,θ,,,,,,Model file,Certain,,,,,,Vaccine wane rate,CONSTANT,"[0.067, 0.1]",1/day
Tuberculosis,Parameter,γ,,,,,,Model file,Certain,,,,,,Recovery rate,CONSTANT,"[0.5, 2]",1/year
Tuberculosis,Parameter,δ,,,,,,Model file,Certain,,,,,,Drop out rate due to waning immunity,CONSTANT,"[0.003, 0.02]",1/day
Tuberculosis,Parameter,μ,,,,,,Model file,Certain,,,,,,Natural death rate,CONSTANT,1 / (65*12),1/month
