Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Tuberculosis3,Compartment,Uninfected,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis3,Compartment,Recently Infected Latent TB,,0,False,4.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis3,Compartment,Remotely Infected Latent TB,,0,False,4.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis3,Compartment,Active TB Smear-Positive Pulmonary,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis3,Compartment,Active TB Smear-Negative Pulmonary,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis3,Compartment,Active TB Extrapulmonary,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis3,Compartment,Recently Treated and Recovered,,0,False,4.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Recently Infected Latent TB,RateFlow,//@parameters.0,False,New TB infection through contact with infectious individuals (smear-positive and smear-negative pulmonary TB cases),,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Remotely Infected Latent TB,RateFlow,//@parameters.0,False,Transition from recent to remote latent infection after approximately two years,,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Active TB Smear-Positive Pulmonary,RateFlow,//@parameters.0,False,Rapid progression from recent latent infection to smear-positive pulmonary TB,,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Active TB Smear-Negative Pulmonary,RateFlow,//@parameters.0,False,Rapid progression from recent latent infection to smear-negative pulmonary TB,,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Active TB Extrapulmonary,RateFlow,//@parameters.0,False,Rapid progression from recent latent infection to extrapulmonary TB,,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Active TB Smear-Positive Pulmonary,RateFlow,//@parameters.0,False,Slow reactivation from remote latent infection to smear-positive pulmonary TB,,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Active TB Smear-Negative Pulmonary,RateFlow,//@parameters.0,False,Slow reactivation from remote latent infection to smear-negative pulmonary TB,,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Active TB Extrapulmonary,RateFlow,//@parameters.0,False,Slow reactivation from remote latent infection to extrapulmonary TB,,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Recently Infected Latent TB,RateFlow,//@parameters.0,False,"Reinfection of remotely infected individuals through contact with infectious cases, returning them to recent latent infection state",,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Recently Treated and Recovered,RateFlow,//@parameters.14,False,Diagnosis and successful treatment of smear-positive pulmonary TB,,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Recently Treated and Recovered,RateFlow,//@parameters.14,False,Diagnosis and successful treatment of smear-negative pulmonary TB,,,
Tuberculosis3,Flow,,,,,,,Model file,Certain,,Recently Treated and Recovered,RateFlow,//@parameters.14,False,Diagnosis and successful treatment of extrapulmonary TB,,,
