Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Tuberculosis,Compartment,"Numerical experiments, and finally, in Section 5, we provide incorporatingagestructure,vaccination,andtreatmentdynamicswas ourconcludingremarks",,0,False,0.0,None,Model file,Certain,,,,,,,,,
Tuberculosis,Compartment,Susceptible,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis,Compartment,Vaccinated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis,Compartment,Infectious,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis,Compartment,Recovered,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Vaccinated,RateFlow,0.0,False,Movement of individuals from the susceptible class to the vaccinated compartment.,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.0,False,Susceptible individuals can contract the disease through direct contact with those in the infected compartment.,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,0.0,False,Dropout rate from the vaccinated compartment back to the susceptible compartment due to waning immunity.,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.1,False,Individuals in the infected compartment recover at a constant rate.,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.1,False,Individuals in the recovered compartment may be re-infected by those in the infected compartment.,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,//@parameters.1,False,Individuals may transition back to the susceptible compartment from the recovered compartment due to waning immunity.,,,
Tuberculosis,Parameter,β,,,,,,Model file,Certain,,,,,,Probability of successful infection rate,CONSTANT,"[0.01,5]",year×human
Tuberculosis,Parameter,γ,,,,,,Model file,Certain,,,,,,Recovery rate,CONSTANT,"[0.5,2]",year
Tuberculosis,Parameter,μ,,,,,,Model file,Certain,,,,,,Natural death rate,CONSTANT,1,1/(65×12 month)
Tuberculosis,Parameter,θ,,,,,,Model file,Certain,,,,,,Vaccine wane rate,CONSTANT,"[0.067,0.1]",day
Tuberculosis,Parameter,δ,,,,,,Model file,Certain,,,,,,Dropout rate due to waning immunity,CONSTANT,"[0.003,0.02]",day
Tuberculosis,Parameter,ε,,,,,,Model file,Certain,,,,,,Correction parameter for reinfection term,CONSTANT,"[0,1]",
