Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Zika,Compartment,Susceptible Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Recovered Humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Zika,Compartment,Vector Eggs,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Vector Larvae,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Vector Pupae,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Susceptible Mosquitoes,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Exposed Mosquitoes,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Infectious Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Flow,,,,,,,Model file,Certain,,Exposed Humans,RateFlow,//@parameters.1,False,Infection of susceptible humans through bites from infectious mosquitoes.,,,
Zika,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.1,False,Progression of exposed humans to the infectious state after the incubation period.,,,
Zika,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.1,False,"Recovery of infectious humans, who then become immune.",,,
Zika,Flow,,,,,,,Model file,Certain,,Vector Larvae,RateFlow,//@parameters.1,False,Maturation of mosquito eggs into larvae.,,,
Zika,Flow,,,,,,,Model file,Certain,,Vector Pupae,RateFlow,//@parameters.1,False,Maturation of mosquito larvae into pupae.,,,
Zika,Flow,,,,,,,Model file,Certain,,Susceptible Mosquitoes,RateFlow,//@parameters.1,False,Emergence of pupae as adult susceptible mosquitoes.,,,
Zika,Flow,,,,,,,Model file,Certain,,Exposed Mosquitoes,RateFlow,//@parameters.1,False,Infection of susceptible mosquitoes by biting infectious humans.,,,
Zika,Flow,,,,,,,Model file,Certain,,Vector Eggs,RateFlow,//@parameters.1,False,Egg laying by adult female mosquitoes.,,,
Zika,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,//@parameters.1,False,Progression of exposed mosquitoes to the infectious state after the extrinsic incubation period.,,,
Zika,Flow,,,,,,,Model file,Certain,,Vector Eggs,RateFlow,//@parameters.1,False,Egg laying by adult female mosquitoes.,,,
Zika,Flow,,,,,,,Model file,Certain,,Vector Eggs,RateFlow,//@parameters.1,False,Egg laying by adult female mosquitoes.,,,
Zika,Parameter,βb,,,,,,Model file,Certain,,,,,,Number of infectious bites delivered per vector per day (Rio de Janeiro State simulation value).,CONSTANT,0.071,per day
Zika,Parameter,M,,,,,,Model file,Certain,,,,,,Number of alternative hosts for mosquito bites (Rio de Janeiro State simulation value).,CONSTANT,100000,hosts
Zika,Parameter,α_H,,,,,,Model file,Certain,,,,,,Inverse incubation time of ZIKV in humans (1/3 days).,CONSTANT,0.333,per day
Zika,Parameter,γ,,,,,,Model file,Certain,,,,,,Recovery rate of infectious humans (1/7 days).,CONSTANT,0.143,per day
Zika,Parameter,λ,,,,,,Model file,Certain,,,,,,Human population growth rate.,CONSTANT,0.00005,per day
Zika,Parameter,K_H,,,,,,Model file,Certain,,,,,,Carrying capacity for human population (Rio de Janeiro State simulation value).,CONSTANT,30000000,persons
Zika,Parameter,e,,,,,,Model file,Certain,,,,,,Number of eggs laid per female mosquito per unit time.,CONSTANT,80,per day
Zika,Parameter,α_V,,,,,,Model file,Certain,,,,,,Inverse incubation time of ZIKV in vectors (1/10 days).,CONSTANT,0.1,per day
Zika,Parameter,τ1,,,,,,Model file,Certain,,,,,,Reciprocal of the egg development time (1/3 days).,CONSTANT,0.333,per day
Zika,Parameter,μ1,,,,,,Model file,Certain,,,,,,Mortality rate of vector eggs.,CONSTANT,0.05,per day
Zika,Parameter,τ2,,,,,,Model file,Certain,,,,,,Reciprocal of the larval development time (1/9 days).,CONSTANT,0.111,per day
Zika,Parameter,μ2,,,,,,Model file,Certain,,,,,,Mortality rate of vector larvae.,CONSTANT,0.025,per day
Zika,Parameter,τ3,,,,,,Model file,Certain,,,,,,Reciprocal of the pupal development time (1/3 days).,CONSTANT,0.333,per day
Zika,Parameter,μ3,,,,,,Model file,Certain,,,,,,Mortality rate of vector pupae.,CONSTANT,0.0025,per day
Zika,Parameter,μ_V,,,,,,Model file,Certain,,,,,,Mortality rate of adult vectors.,CONSTANT,0.05,per day
Zika,Parameter,q,,,,,,Model file,Certain,,,,,,Percentage of females among adult vectors.,CONSTANT,0.68,dimensionless
Zika,Parameter,K_V,,,,,,Model file,Certain,,,,,,Carrying capacity for larvae (Rio de Janeiro State simulation value).,CONSTANT,100000000,larvae
Zika,Parameter,κ,,,,,,Model file,Certain,,,,,,Mortality rate of larvae caused by limited carrying capacity (Rio de Janeiro State simulation value).,CONSTANT,1,per day
