Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Zika,Compartment,Susceptible Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Recovered Humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Zika,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Exposed Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Zika,Flow,,,,,,,Model file,Certain,,Exposed Humans,RateFlow,//@parameters.3,False,Humans become exposed after being bitten by infectious mosquitoes.,,,
Zika,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.3,False,Exposed humans become infectious after the incubation period.,,,
Zika,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.3,False,Infectious humans recover and become immune.,,,
Zika,Flow,,,,,,,Model file,Certain,,Exposed Mosquitoes,RateFlow,//@parameters.3,False,Mosquitoes become exposed after biting infectious humans.,,,
Zika,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,//@parameters.3,False,Exposed mosquitoes become infectious after the incubation period.,,,
Zika,Parameter,Number of infectious bites delivered per vector per day,,,,,,Model file,Certain,,,,,,Average number of infectious bites a mosquito delivers per day.,CONSTANT,0.05 - 0.12,bites/day
Zika,Parameter,Incubation time in human,,,,,,Model file,Certain,,,,,,Time from exposure to becoming infectious in humans.,CONSTANT,2 - 4,days
Zika,Parameter,Incubation time in vector,,,,,,Model file,Certain,,,,,,Time from exposure to becoming infectious in mosquitoes.,CONSTANT,8 - 12,days
Zika,Parameter,Recovery time,,,,,,Model file,Certain,,,,,,Time for an infectious human to recover and become immune.,CONSTANT,5 - 7,days
Zika,Parameter,Number of eggs laid per female mosquito per unit time,,,,,,Model file,Certain,,,,,,Average number of eggs laid by a female mosquito per day.,CONSTANT,80,eggs/day
Zika,Parameter,Egg development time,,,,,,Model file,Certain,,,,,,Time for mosquito eggs to develop.,CONSTANT,3,days
Zika,Parameter,Egg mortality,,,,,,Model file,Certain,,,,,,Probability of egg mortality.,CONSTANT,0.05,probability
Zika,Parameter,Larval development time,,,,,,Model file,Certain,,,,,,Time for mosquito larvae to develop.,CONSTANT,9,days
Zika,Parameter,Larval mortality,,,,,,Model file,Certain,,,,,,Probability of larval mortality.,CONSTANT,0.025,probability
Zika,Parameter,Pupal development time,,,,,,Model file,Certain,,,,,,Time for mosquito pupae to develop.,CONSTANT,3,days
Zika,Parameter,Pupal mortality,,,,,,Model file,Certain,,,,,,Probability of pupal mortality.,CONSTANT,0.0025,probability
Zika,Parameter,Adult mortality,,,,,,Model file,Certain,,,,,,Probability of adult mosquito mortality.,CONSTANT,0.05,probability
Zika,Parameter,Female adult percentage,,,,,,Model file,Certain,,,,,,Percentage of adult mosquitoes that are female.,CONSTANT,0.68,percentage
