Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Dengue,Compartment,Susceptible Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Exposed Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Asymptomatic Infectious Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Symptomatic Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Recovered Humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Dengue,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Dengue,Flow,,,,,,,Model file,Certain,,Exposed Humans,RateFlow,//@parameters.0,False,Transmission of dengue from infectious mosquitoes to susceptible humans.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Asymptomatic Infectious Humans,RateFlow,//@parameters.0,False,Progression from the exposed state to the asymptomatic infectious state with probability 1-ρ.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Symptomatic Infectious Humans,RateFlow,//@parameters.0,False,Progression from the exposed state to the symptomatic infectious state with probability ρ.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.4,False,Recovery of asymptomatic infectious individuals.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Symptomatic Infectious Humans,RateFlow,//@parameters.0,False,"Reinfection of asymptomatic individuals through mosquito bites, leading to a symptomatic infection.",,,
Dengue,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.4,False,Recovery of symptomatic infectious individuals.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,//@parameters.0,False,Transmission of dengue from infectious humans to susceptible mosquitoes.,,,
Dengue,Parameter,B,,,,,,Model file,Certain,,,,,,The constant influx rate of the human hosts.,CONSTANT,0.0,
Dengue,Parameter,k(a),,,,,,Model file,Certain,,,,,,The age-specific rate of progression from exposed to infectious (inverse of the latent period).,CONSTANT,0.0,
Dengue,Parameter,μh,,,,,,Model file,Certain,,,,,,The natural death rate of the human hosts.,CONSTANT,0.0,
Dengue,Parameter,μv,,,,,,Model file,Certain,,,,,,The natural death rate of the mosquitoes.,CONSTANT,0.0,
Dengue,Parameter,γ1(a),,,,,,Model file,Certain,,,,,,The age-specific recovery rate of symptomatic infectious hosts.,CONSTANT,0.0,
Dengue,Parameter,γ2(a),,,,,,Model file,Certain,,,,,,The age-specific recovery rate of asymptomatic infectious hosts.,CONSTANT,0.0,
Dengue,Parameter,βv(a),,,,,,Model file,Certain,,,,,,The age-specific transmission rate from infectious hosts to susceptible mosquitoes.,CONSTANT,0.0,
Dengue,Parameter,βh(a),,,,,,Model file,Certain,,,,,,The age-specific transmission rate from infected mosquitoes to susceptible hosts.,CONSTANT,0.0,
Dengue,Parameter,ρ,,,,,,Model file,Certain,,,,,,The probability of exposed hosts transferring to symptomatic infectious hosts.,CONSTANT,0.0,
Dengue,Parameter,σ,,,,,,Model file,Certain,,,,,,The factor characterizing the intensity of reinfection of asymptomatic infectious hosts.,CONSTANT,0.0,
