Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Dengue,Compartment,Susceptible Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Exposed Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Asymptomatic Infectious Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Symptomatic Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Recovered Humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Dengue,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Dengue,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Dengue,Flow,,,,,,,Model file,Certain,,Exposed Humans,RateFlow,//@parameters.0,False,Susceptible humans become exposed through bites by infected mosquitoes.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Asymptomatic Infectious Humans,RateFlow,//@parameters.0,False,Exposed humans become asymptomatic infectious at a rate dependent on age.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Symptomatic Infectious Humans,RateFlow,//@parameters.0,False,Exposed humans become symptomatic infectious at a rate dependent on age.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.4,False,Asymptomatic infectious humans recover at an age-specific rate.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Symptomatic Infectious Humans,RateFlow,//@parameters.0,False,Asymptomatic infectious humans can be reinfected and become symptomatic infectious.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.4,False,Symptomatic infectious humans recover at an age-specific rate.,,,
Dengue,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,//@parameters.0,False,Susceptible mosquitoes become infectious after biting infectious humans.,,,
Dengue,Parameter,B,,,,,,Model file,Certain,,,,,,The constant influx rate of the human hosts.,CONSTANT,constant,individuals/time
Dengue,Parameter,k(a),,,,,,Model file,Certain,,,,,,The rate at which exposed humans become infectious.,CONSTANT,age-dependent,1/time
Dengue,Parameter,μh,,,,,,Model file,Certain,,,,,,The natural death rate of the human hosts.,CONSTANT,constant,1/time
Dengue,Parameter,μv,,,,,,Model file,Certain,,,,,,The natural death rate of the mosquitoes.,CONSTANT,constant,1/time
Dengue,Parameter,γ1(a),,,,,,Model file,Certain,,,,,,The recovery rate of symptomatic infectious hosts.,CONSTANT,age-dependent,1/time
Dengue,Parameter,γ2(a),,,,,,Model file,Certain,,,,,,The recovery rate of asymptomatic infectious hosts.,CONSTANT,age-dependent,1/time
Dengue,Parameter,βv(a),,,,,,Model file,Certain,,,,,,The transmission rate from infectious hosts to susceptible mosquitoes.,CONSTANT,age-dependent,1/time
Dengue,Parameter,βh(a),,,,,,Model file,Certain,,,,,,The transmission rate from infected mosquitoes to susceptible hosts.,CONSTANT,age-dependent,1/time
Dengue,Parameter,ρ,,,,,,Model file,Certain,,,,,,The probability of exposed hosts transferring to symptomatic infectious hosts.,CONSTANT,0 < ρ < 1,dimensionless
Dengue,Parameter,σ,,,,,,Model file,Certain,,,,,,The factor characterizing the intensity of reinfection of asymptomatic infectious hosts.,CONSTANT,constant,dimensionless
