Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Ebola,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Ebola,Compartment,Infectious,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Ebola,Compartment,Quarantined,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Ebola,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Ebola,Compartment,Dead,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Ebola,Compartment,Pathogen in Environment,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Ebola,Flow,,,,,,,Model file,Certain,,Infectious,RateFlow,//@parameters.1,False,Infection of susceptible individuals from effective contact with infectious humans.,,,
Ebola,Flow,,,,,,,Model file,Certain,,Quarantined,RateFlow,//@parameters.1,False,Rate at which infected people are quarantined.,,,
Ebola,Flow,,,,,,,Model file,Certain,,Pathogen in Environment,RateFlow,//@parameters.1,False,Shedding of virus into the environment by infected humans.,,,
Ebola,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.1,False,Rate at which quarantined people recover.,,,
Ebola,Parameter,α1,,,,,,Model file,Certain,,,,,,The rate of contact (effective) of infected human.,CONSTANT,10,N/A
Ebola,Parameter,d,,,,,,Model file,Certain,,,,,,Rate of deaths of human individuals due to infection.,CONSTANT,0.0015,N/A
Ebola,Parameter,α2,,,,,,Model file,Certain,,,,,,The rate contact of Ebola virus pathogens in the environment.,CONSTANT,3,N/A
Ebola,Parameter,ψ1,,,,,,Model file,Certain,,,,,,The rate at which infected people quarantined.,CONSTANT,0.006,N/A
Ebola,Parameter,ψ2,,,,,,Model file,Certain,,,,,,The rate at which quarantined people are recovered.,CONSTANT,0.0012,N/A
Ebola,Parameter,b,,,,,,Model file,Certain,,,,,,The proportion rate of burial deceased people.,CONSTANT,0,N/A
Ebola,Parameter,ψ3,,,,,,Model file,Certain,,,,,,The rate at which quarantine people are in deceased.,CONSTANT,0.006,N/A
Ebola,Parameter,c,,,,,,Model file,Certain,,,,,,The proportion rate of burial deceased people.,CONSTANT,0.8,N/A
Ebola,Parameter,ε,,,,,,Model file,Certain,,,,,,Rate at which shedding of infected humans.,CONSTANT,0.5,N/A
Ebola,Parameter,h,,,,,,Model file,Certain,,,,,,proportion of shedding of deceased people.,CONSTANT,0.04,N/A
Ebola,Parameter,ρ1,,,,,,Model file,Certain,,,,,,The rate at which EVD in the environment decays.,CONSTANT,0.123,N/A
