Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Ebola,Compartment,Susceptible Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Ebola,Compartment,Infectious Humans,,0,False,4.0,RateFlow,Model file,Certain,,,,,,,,,
Ebola,Compartment,Quarantined Humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Ebola,Compartment,Deceased Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Ebola,Compartment,Recovered Humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Ebola,Compartment,Environmental Pathogens,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Ebola,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,0.0,False,Transmission of Ebola Virus Disease through contact with infectious humans or contaminated environment.,,,
Ebola,Flow,,,,,,,Model file,Certain,,Quarantined Humans,RateFlow,0.0,False,Infected humans are quarantined to prevent further transmission.,,,
Ebola,Flow,,,,,,,Model file,Certain,,Deceased Humans,RateFlow,0.0,False,Death of infected humans due to Ebola Virus Disease.,,,
Ebola,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,0.0,False,Recovery of infected humans with immunity.,,,
Ebola,Flow,,,,,,,Model file,Certain,,Environmental Pathogens,RateFlow,0.0,False,Shedding of Ebola virus into the environment from infected humans.,,,
Ebola,Flow,,,,,,,Model file,Certain,,Environmental Pathogens,RateFlow,0.0,False,Shedding of Ebola virus into the environment from deceased humans.,,,
Ebola,Parameter,𝜖,,,,,,Model file,Certain,,,,,,Natural death rate of humans.,CONSTANT,0.5,per day
Ebola,Parameter,𝜌,,,,,,Model file,Certain,,,,,,Rate of deaths of human individuals due to infection.,CONSTANT,0.123,per day
Ebola,Parameter,𝑐,,,,,,Model file,Certain,,,,,,Proportion rate of burial deceased people.,CONSTANT,0.8,proportion
Ebola,Parameter,𝑏,,,,,,Model file,Certain,,,,,,Rate at which EVD in the environment.,CONSTANT,0,per day
Ebola,Parameter,ℎ,,,,,,Model file,Certain,,,,,,Proportion of shedding of deceased people.,CONSTANT,0.04,proportion
