Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Flu,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Flu,Compartment,Exposed 1,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Flu,Compartment,Exposed 2,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Flu,Compartment,Infectious 1,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Flu,Compartment,Infectious 2,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Flu,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Flu,Flow,,,,,,,Model file,Certain,,Exposed 1,RateFlow,//@parameters.2,False,"Rate at which a person becomes infected, λ(t), assumed to be proportional to the number of infectious people (I1 + I2) and the constant transmission rate β.",,,
Flu,Flow,,,,,,,Model file,Certain,,Exposed 2,RateFlow,//@parameters.0,False,Transition from the first to the second exposed compartment at a daily rate σ.,,,
Flu,Flow,,,,,,,Model file,Certain,,Infectious 1,RateFlow,//@parameters.0,False,Transition from the second exposed compartment to the first infectious compartment at a daily rate σ.,,,
Flu,Flow,,,,,,,Model file,Certain,,Infectious 2,RateFlow,//@parameters.1,False,Transition from the first to the second infectious compartment at a daily rate γ.,,,
Flu,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.1,False,Transition from the second infectious compartment to the recovered compartment at a daily rate γ.,,,
Flu,Parameter,σ,,,,,,Model file,Certain,,,,,,Daily rate of transition from E1 to E2 and from E2 to I1.,CONSTANT,1,per day
Flu,Parameter,γ,,,,,,Model file,Certain,,,,,,Daily rate of transition from I1 to I2 and from I2 to R.,CONSTANT,0.5797,per day
Flu,Parameter,β,,,,,,Model file,Certain,,,,,,The constant transmission rate (the rate at which new infections take place given a contact).,CONSTANT,0.0,
Flu,Parameter,N2012/13,,,,,,Model file,Certain,,,,,,Population of 2012/13.,CONSTANT,53679750,people
Flu,Parameter,N2013/14,,,,,,Model file,Certain,,,,,,Population of 2013/14.,CONSTANT,54091200,people
Flu,Parameter,N2014/15,,,,,,Model file,Certain,,,,,,Population of 2014/15.,CONSTANT,54551450,people
