Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Flu,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Flu,Compartment,Exposed 1,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Flu,Compartment,Exposed 2,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Flu,Compartment,Infectious 1,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Flu,Compartment,Infectious 2,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Flu,Compartment,Recovered,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Flu,Flow,,,,,,,Model file,Certain,,Exposed 1,RateFlow,//@parameters.2,False,Infection occurs at a rate proportional to the number of infectious individuals and the transmission rate.,,,
Flu,Flow,,,,,,,Model file,Certain,,Exposed 2,RateFlow,//@parameters.0,False,Transition from the first to the second stage of incubation at rate σ.,,,
Flu,Flow,,,,,,,Model file,Certain,,Infectious 1,RateFlow,//@parameters.0,False,Transition from the second stage of incubation to the first stage of being infectious at rate σ.,,,
Flu,Flow,,,,,,,Model file,Certain,,Infectious 2,RateFlow,//@parameters.1,False,Transition from the first to the second stage of being infectious at rate γ.,,,
Flu,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,//@parameters.1,False,Recovery from the second stage of being infectious at rate γ.,,,
Flu,Parameter,σ,,,,,,Model file,Certain,,,,,,Rate of transition from Exposed 1 to Exposed 2 and from Exposed 2 to Infectious 1.,CONSTANT,1,per day
Flu,Parameter,γ,,,,,,Model file,Certain,,,,,,Rate of transition from Infectious 1 to Infectious 2 and from Infectious 2 to Recovered.,CONSTANT,0.5797,per day
Flu,Parameter,β,,,,,,Model file,Certain,,,,,,Transmission rate at which new infections take place given a contact.,CONSTANT,not specified,per contact per day
