Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Hiv,Compartment,Susceptible Homosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Susceptible Heterosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Susceptible Women,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Infected Homosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Infected Heterosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Infected Women,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Treated Individuals,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Individuals with AIDS,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Hiv,Flow,,,,,,,Model file,Certain,,Infected Homosexual Men,RateFlow,//@parameters.0,False,Transmission of HIV to susceptible homosexual men from infected homosexual men.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Infected Heterosexual Men,RateFlow,//@parameters.0,False,Transmission of HIV to susceptible heterosexual men from infected women or infected homosexual men.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Infected Women,RateFlow,//@parameters.0,False,Transmission of HIV to susceptible women from infected heterosexual men or infected homosexual men.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated Individuals,RateFlow,//@parameters.0,False,Departure from the infected homosexual men compartment to the treated compartment at rate a.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated Individuals,RateFlow,//@parameters.0,False,Departure from the infected heterosexual men compartment to the treated compartment at rate a.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Treated Individuals,RateFlow,//@parameters.0,False,Departure from the infected women compartment to the treated compartment at rate a.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Individuals with AIDS,RateFlow,//@parameters.0,False,Progression to AIDS for treated individuals due to ART resistance or treatment failure at rate d.,,,
Hiv,Parameter,C,,,,,,Model file,Certain,,,,,,Constant recruitment rate into susceptible populations.,CONSTANT,0.0,individuals/time
Hiv,Parameter,h,,,,,,Model file,Certain,,,,,,Proportion of men in the recruited population.,CONSTANT,0.0,proportion
Hiv,Parameter,c,,,,,,Model file,Certain,,,,,,Proportion of heterosexual men among all men.,CONSTANT,0.0,proportion
Hiv,Parameter,p,,,,,,Model file,Certain,,,,,,Proportion of initially treated individuals.,CONSTANT,0.0,proportion
Hiv,Parameter,l,,,,,,Model file,Certain,,,,,,Natural mortality rate in all classes.,CONSTANT,0.0,1/time
Hiv,Parameter,d,,,,,,Model file,Certain,,,,,,Induced disease mortality rate for individuals with AIDS.,CONSTANT,0.0,1/time
Hiv,Parameter,a,,,,,,Model file,Certain,,,,,,Departure rate from all compartments of infected individuals (assumed to be the rate of starting treatment).,CONSTANT,0.0,1/time
