Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Hiv,Compartment,Susceptible Homosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Susceptible Heterosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Susceptible Women,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Infected Homosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Infected Heterosexual Men,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,Infected Women,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Hiv,Compartment,AIDS Homosexual Men,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Hiv,Compartment,AIDS Heterosexual Men,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Hiv,Compartment,AIDS Women,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Hiv,Flow,,,,,,,Model file,Certain,,Infected Homosexual Men,RateFlow,//@parameters.0,False,Infection of susceptible homosexual men through contact with infected homosexual men.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Infected Heterosexual Men,RateFlow,//@parameters.0,False,Infection of susceptible heterosexual men through contact with infected women or homosexual men.,,,
Hiv,Flow,,,,,,,Model file,Certain,,Infected Women,RateFlow,//@parameters.0,False,Infection of susceptible women through contact with infected heterosexual or homosexual men.,,,
Hiv,Flow,,,,,,,Model file,Certain,,AIDS Homosexual Men,RateFlow,//@parameters.0,False,Progression from HIV infection to AIDS in homosexual men.,,,
Hiv,Flow,,,,,,,Model file,Certain,,AIDS Heterosexual Men,RateFlow,//@parameters.0,False,Progression from HIV infection to AIDS in heterosexual men.,,,
Hiv,Flow,,,,,,,Model file,Certain,,AIDS Women,RateFlow,//@parameters.0,False,Progression from HIV infection to AIDS in women.,,,
Hiv,Parameter,C,,,,,,Model file,Certain,,,,,,Constant recruitment in susceptible individuals.,CONSTANT,varies,individuals per time unit
Hiv,Parameter,h,,,,,,Model file,Certain,,,,,,Proportion of men in the population.,CONSTANT,proportion,dimensionless
Hiv,Parameter,c,,,,,,Model file,Certain,,,,,,Proportion of heterosexual men in the population.,CONSTANT,proportion,dimensionless
Hiv,Parameter,p,,,,,,Model file,Certain,,,,,,Proportion of initially treated individuals.,CONSTANT,proportion,dimensionless
Hiv,Parameter,l,,,,,,Model file,Certain,,,,,,Natural mortality rate.,CONSTANT,rate,per time unit
Hiv,Parameter,d,,,,,,Model file,Certain,,,,,,Induced disease mortality rate.,CONSTANT,rate,per time unit
Hiv,Parameter,a,,,,,,Model file,Certain,,,,,,Departure rate from all compartments of infected individuals.,CONSTANT,rate,per time unit
