Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Malaria,Compartment,Susceptible Humans,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Vaccinated Humans,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Exposed Humans (Vector-borne),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Exposed Humans (Non-vector),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Treated Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Recovered Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Exposed Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Malaria,Flow,,,,,,,Model file,Certain,,Vaccinated Humans,RateFlow,0.0,False,Vaccination of susceptible individuals.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Humans (Vector-borne),RateFlow,//@parameters.6,False,Infection of susceptible humans by infectious mosquitoes through bloodmeals.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Humans (Non-vector),RateFlow,//@parameters.6,False,Non-vector transmission from infectious humans to susceptible humans.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Susceptible Humans,RateFlow,0.0,False,Loss of vaccine-induced immunity due to vaccine failure.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Humans (Vector-borne),RateFlow,//@parameters.6,False,"Infection of vaccinated humans by infectious mosquitoes through bloodmeals, with reduced susceptibility due to vaccine efficacy.",,,
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Humans (Non-vector),RateFlow,//@parameters.6,False,"Non-vector transmission from infectious humans to vaccinated humans, with reduced susceptibility due to vaccine efficacy.",,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.13,False,Progression from exposed (vector-borne) to infectious state.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.13,False,Progression from exposed (non-vector) to infectious state.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Treated Humans,RateFlow,//@parameters.6,False,Infectious individuals beginning treatment.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.14,False,Treated individuals recovering from malaria.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Susceptible Humans,RateFlow,//@parameters.2,False,Loss of natural immunity.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Mosquitoes,RateFlow,//@parameters.6,False,Infection of susceptible mosquitoes by biting infectious humans.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,//@parameters.13,False,Progression of exposed mosquitoes to infectious state.,,,
Malaria,Parameter,π,,,,,,Model file,Certain,,,,,,Human and mosquito population birth rate.,CONSTANT,0.012,per day
Malaria,Parameter,k,,,,,,Model file,Certain,,,,,,Vaccination rate.,CONSTANT,0.60—0.90,
Malaria,Parameter,µ1,,,,,,Model file,Certain,,,,,,Human population natural death rate.,CONSTANT,0.0002,per day
Malaria,Parameter,µ2,,,,,,Model file,Certain,,,,,,Mosquito population natural death rate.,CONSTANT,0.1,per day
Malaria,Parameter,θ,,,,,,Model file,Certain,,,,,,Rate of vaccine immunity loss due to vaccine failure.,CONSTANT,0.1—0.2,
Malaria,Parameter,ε,,,,,,Model file,Certain,,,,,,Vaccine efficacy.,CONSTANT,0.3—0.5,
Malaria,Parameter,ηV,,,,,,Model file,Certain,,,,,,Effective contact rate of vaccinated humans with infected mosquitoes through bloodmeals.,CONSTANT,0.001—0.005,per day
Malaria,Parameter,ηS,,,,,,Model file,Certain,,,,,,Effective contact rate of susceptible humans with infected mosquitoes through bloodmeals.,CONSTANT,0.005—0.02,per day
Malaria,Parameter,ξV,,,,,,Model file,Certain,,,,,,Effective contact rate for non-vector transmission to vaccinated humans from infectious humans.,CONSTANT,0.0005—0.002,per day
Malaria,Parameter,ξS,,,,,,Model file,Certain,,,,,,Effective contact rate for non-vector transmission to susceptible humans from infectious humans.,CONSTANT,0.001—0.003,per day
Malaria,Parameter,τ1,,,,,,Model file,Certain,,,,,,Progression rate from vector-exposed to infectious for humans.,CONSTANT,0.05,per day
Malaria,Parameter,τ2,,,,,,Model file,Certain,,,,,,Progression rate from non-vector-exposed to infectious for humans.,CONSTANT,0.05,per day
Malaria,Parameter,σ,,,,,,Model file,Certain,,,,,,Treatment rate for infectious humans.,CONSTANT,0.10,per day
Malaria,Parameter,ω,,,,,,Model file,Certain,,,,,,Recovery rate for treated humans.,CONSTANT,0.05,per day
Malaria,Parameter,γ,,,,,,Model file,Certain,,,,,,Rate of natural immunity loss.,CONSTANT,0.01,per day
Malaria,Parameter,δ1,,,,,,Model file,Certain,,,,,,Malaria-induced death rate for humans.,CONSTANT,0.002,per day
Malaria,Parameter,beta_h,,,,,,Model file,Certain,,,,,,Rate of mosquito infection by infectious humans (represented by β in the paper).,CONSTANT,0.02,per day
Malaria,Parameter,beta_m,,,,,,Model file,Certain,,,,,,Progression rate of exposed mosquitoes to infectious (represented by β in the paper).,CONSTANT,0.10,per day
