Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Malaria,Compartment,Susceptible Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Vaccinated Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Exposed Humans (Vector),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Exposed Humans (Non-Vector),,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Humans,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Treated Humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Malaria,Compartment,Recovered Humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Malaria,Compartment,Susceptible Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Exposed Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Malaria,Compartment,Infectious Mosquitoes,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Humans (Vector),RateFlow,//@parameters.5,False,Transmission from infectious mosquitoes to susceptible humans.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Humans (Non-Vector),RateFlow,//@parameters.5,False,Transmission through non-vector pathways such as blood transfusions.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Humans (Vector),RateFlow,//@parameters.5,False,Transmission from infectious mosquitoes to vaccinated humans.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.12,False,Progression from exposed to infectious state in humans (vector pathway).,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.12,False,Progression from exposed to infectious state in humans (non-vector pathway).,,,
Malaria,Flow,,,,,,,Model file,Certain,,Treated Humans,RateFlow,0.0,False,Humans receiving treatment for malaria.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.13,False,Recovery from malaria infection.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Exposed Mosquitoes,RateFlow,//@parameters.5,False,Transmission from infectious humans to susceptible mosquitoes.,,,
Malaria,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,//@parameters.12,False,Progression from exposed to infectious state in mosquitoes.,,,
Malaria,Parameter,π,,,,,,Model file,Certain,,,,,,Human population birth rate.,CONSTANT,0.012,per day
Malaria,Parameter,k,,,,,,Model file,Certain,,,,,,Vaccination rate.,CONSTANT,0.60—0.90,
Malaria,Parameter,µ1,,,,,,Model file,Certain,,,,,,Human population natural death rate.,CONSTANT,0.0002,per day
Malaria,Parameter,θ,,,,,,Model file,Certain,,,,,,Rate of vaccine immunity loss due to vaccine failure.,CONSTANT,0.1—0.2,
Malaria,Parameter,ε,,,,,,Model file,Certain,,,,,,Rate of vaccine efficacy.,CONSTANT,0.3—0.5,
Malaria,Parameter,ηV,,,,,,Model file,Certain,,,,,,Effective contact rate of vaccinated humans with infected mosquitoes.,CONSTANT,0.001—0.005,per day
Malaria,Parameter,ηS,,,,,,Model file,Certain,,,,,,Effective contact rate of susceptible humans with infected mosquitoes.,CONSTANT,0.005—0.02,per day
Malaria,Parameter,ξV,,,,,,Model file,Certain,,,,,,Effective contact rate of vaccinated humans through non-vector pathways.,CONSTANT,0.0005—0.002,per day
Malaria,Parameter,ξS,,,,,,Model file,Certain,,,,,,Effective contact rate of susceptible humans through non-vector pathways.,CONSTANT,0.001—0.003,per day
Malaria,Parameter,τ1,,,,,,Model file,Certain,,,,,,Progression rate from exposed to infectious in humans (vector pathway).,CONSTANT,0.05,per day
Malaria,Parameter,τ2,,,,,,Model file,Certain,,,,,,Progression rate from exposed to infectious in mosquitoes.,CONSTANT,0.05,per day
Malaria,Parameter,σ,,,,,,Model file,Certain,,,,,,Treatment rate for infectious humans.,CONSTANT,0.10,per day
Malaria,Parameter,ω,,,,,,Model file,Certain,,,,,,Recovery rate from malaria infection.,CONSTANT,0.05,per day
Malaria,Parameter,γ,,,,,,Model file,Certain,,,,,,Rate of immunity loss in recovered humans.,CONSTANT,0.01,per day
Malaria,Parameter,δ1,,,,,,Model file,Certain,,,,,,Death rate due to malaria.,CONSTANT,0.002,per day
