Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Measles,Compartment,Susceptible Children,,0,False,4.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Un-monitored Vaccinated Children,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Monitored Vaccinated Children,,0,False,3.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Exposed Children,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Infectious Children,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Recovered Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Susceptible Adults,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Vaccinated Adults,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Exposed Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Infectious Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Recovered Adults,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Flow,,,,,,,Model file,Certain,,Un-monitored Vaccinated Children,RateFlow,//@parameters.0,False,Vaccination of susceptible children into the un-monitored program.,,,
Measles,Flow,,,,,,,Model file,Certain,,Monitored Vaccinated Children,RateFlow,//@parameters.0,False,Vaccination of susceptible children into the monitored program.,,,
Measles,Flow,,,,,,,Model file,Certain,,Exposed Children,RateFlow,//@parameters.0,False,Infection of susceptible children.,,,
Measles,Flow,,,,,,,Model file,Certain,,Susceptible Adults,RateFlow,//@parameters.0,False,Maturation of susceptible children into the adult population.,,,
Measles,Flow,,,,,,,Model file,Certain,,Exposed Children,RateFlow,//@parameters.0,False,Breakthrough infection of un-monitored vaccinated children.,,,
Measles,Flow,,,,,,,Model file,Certain,,Recovered Children,RateFlow,//@parameters.0,False,Development of immunity in un-monitored vaccinated children.,,,
Measles,Flow,,,,,,,Model file,Certain,,Vaccinated Adults,RateFlow,//@parameters.0,False,Maturation of un-monitored vaccinated children into the vaccinated adult population.,,,
Measles,Flow,,,,,,,Model file,Certain,,Exposed Children,RateFlow,//@parameters.0,False,Breakthrough infection of monitored vaccinated children.,,,
Measles,Flow,,,,,,,Model file,Certain,,Recovered Children,RateFlow,//@parameters.0,False,Development of immunity in monitored vaccinated children.,,,
Measles,Flow,,,,,,,Model file,Certain,,Vaccinated Adults,RateFlow,//@parameters.0,False,Maturation of monitored vaccinated children into the vaccinated adult population.,,,
