Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Measles,Compartment,Susceptible Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Infectious Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Recovered Children,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Compartment,Un-monitored Vaccinated Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Monitored Vaccinated Children,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Susceptible Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Infectious Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Compartment,Recovered Adults,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Measles,Compartment,Vaccinated Adults,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Measles,Flow,,,,,,,Model file,Certain,,Infectious Children,RateFlow,//@parameters.0,False,Transmission of measles to susceptible children.,,,
Measles,Flow,,,,,,,Model file,Certain,,Recovered Children,RateFlow,//@parameters.0,False,Recovery from measles infection in children.,,,
Measles,Flow,,,,,,,Model file,Certain,,Recovered Children,RateFlow,//@parameters.0,False,Immunity acquisition in un-monitored vaccinated children.,,,
Measles,Flow,,,,,,,Model file,Certain,,Recovered Children,RateFlow,//@parameters.0,False,Immunity acquisition in monitored vaccinated children.,,,
Measles,Flow,,,,,,,Model file,Certain,,Infectious Adults,RateFlow,//@parameters.0,False,Transmission of measles to susceptible adults.,,,
Measles,Flow,,,,,,,Model file,Certain,,Recovered Adults,RateFlow,//@parameters.0,False,Recovery from measles infection in adults.,,,
Measles,Flow,,,,,,,Model file,Certain,,Recovered Adults,RateFlow,//@parameters.0,False,Immunity acquisition in vaccinated adults.,,,
Measles,Parameter,L,,,,,,Model file,Certain,,,,,,Recruitment rate to children group,CONSTANT,N/A,N/A
Measles,Parameter,xU,,,,,,Model file,Certain,,,,,,Un-monitored children vaccination rate,CONSTANT,0.087,N/A
Measles,Parameter,xM,,,,,,Model file,Certain,,,,,,Monitored children vaccination rate,CONSTANT,4.77e-5,N/A
Measles,Parameter,xA,,,,,,Model file,Certain,,,,,,Adult vaccination rate,CONSTANT,0,N/A
Measles,Parameter,bC,,,,,,Model file,Certain,,,,,,Transmission rate among children,CONSTANT,0.00188,N/A
Measles,Parameter,bA,,,,,,Model file,Certain,,,,,,Transmission rate among adults,CONSTANT,1.00e-5,N/A
Measles,Parameter,m,,,,,,Model file,Certain,,,,,,Natural death rate,CONSTANT,1/(72*52),N/A
Measles,Parameter,g,,,,,,Model file,Certain,,,,,,Rate of being immune after recovery,CONSTANT,1/2,N/A
Measles,Parameter,j,,,,,,Model file,Certain,,,,,,Maturation rate,CONSTANT,1/(15*52),N/A
Measles,Parameter,e,,,,,,Model file,Certain,,,,,,Effectiveness of the vaccination,CONSTANT,0.2,N/A
Measles,Parameter,hA,,,,,,Model file,Certain,,,,,,Rate of being immune of un-monitored vaccinated adults,CONSTANT,0,N/A
Measles,Parameter,hU,,,,,,Model file,Certain,,,,,,Rate of being immune of un-monitored vaccinated children,CONSTANT,3e-6,N/A
Measles,Parameter,hM,,,,,,Model file,Certain,,,,,,Rate of being immune of monitored vaccinated children,CONSTANT,0.167,N/A
Measles,Parameter,d,,,,,,Model file,Certain,,,,,,Incubation period,CONSTANT,0.7,N/A
Measles,Parameter,q,,,,,,Model file,Certain,,,,,,N/A,CONSTANT,0.15,N/A
Measles,Parameter,a,,,,,,Model file,Certain,,,,,,N/A,CONSTANT,0.01253,N/A
