Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Tuberculosis,Compartment,Susceptible,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis,Compartment,Vaccinated,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis,Compartment,Infectious,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Tuberculosis,Compartment,Recovered,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Vaccinated,RateFlow,//@parameters.0,False,Vaccination of susceptible individuals,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,//@parameters.0,False,Waning of vaccine-induced immunity,,,
Tuberculosis,Flow,,,,,,,Model file,Certain,,Susceptible,RateFlow,//@parameters.0,False,"Waning of natural immunity, leading to susceptibility",,,
Tuberculosis,Parameter,A,,,,,,Model file,Certain,,,,,,Recruitment rate of susceptible individuals,CONSTANT,2,per year
Tuberculosis,Parameter,β,,,,,,Model file,Certain,,,,,,Transmission rate,CONSTANT,0.75,per year
Tuberculosis,Parameter,μ,,,,,,Model file,Certain,,,,,,Natural death rate,CONSTANT,0.02,per year
Tuberculosis,Parameter,u,,,,,,Model file,Certain,,,,,,Vaccination rate,CONSTANT,0.3,per year
Tuberculosis,Parameter,θ,,,,,,Model file,Certain,,,,,,Rate of vaccine wane,CONSTANT,0.1,per year
Tuberculosis,Parameter,σ,,,,,,Model file,Certain,,,,,,Efficacy of the vaccine,CONSTANT,0.8,dimensionless
Tuberculosis,Parameter,ε,,,,,,Model file,Certain,,,,,,Factor for susceptibility of recovered individuals,CONSTANT,0.5,dimensionless
Tuberculosis,Parameter,γ,,,,,,Model file,Certain,,,,,,Recovery rate,CONSTANT,0.2,per year
Tuberculosis,Parameter,ω,,,,,,Model file,Certain,,,,,,Rate of waning natural immunity,CONSTANT,0.01,per year
Tuberculosis,Parameter,d,,,,,,Model file,Certain,,,,,,Disease-induced death rate,CONSTANT,0.05,per year
