Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,ParameterType,Value,Unit
Zika,Compartment,Susceptible Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Exposed Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Infectious Humans,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Recovered Humans,,0,False,0.0,None,Model file,Certain,,,,,,,,,
Zika,Compartment,Vector Eggs,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Vector Larvae,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Vector Pupae,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Susceptible Mosquitoes,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Exposed Mosquitoes,,0,False,2.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Compartment,Infectious Mosquitoes,,0,False,1.0,RateFlow,Model file,Certain,,,,,,,,,
Zika,Flow,,,,,,,Model file,Certain,,Exposed Humans,RateFlow,0.0,False,Infection of susceptible humans by infectious mosquitoes through bites.,,,
Zika,Flow,,,,,,,Model file,Certain,,Infectious Humans,RateFlow,//@parameters.3,False,Progression of exposed humans to the infectious state after the incubation period.,,,
Zika,Flow,,,,,,,Model file,Certain,,Recovered Humans,RateFlow,//@parameters.4,False,"Recovery of infectious humans, who then become immune.",,,
Zika,Flow,,,,,,,Model file,Certain,,Vector Larvae,RateFlow,0.0,False,Hatching of mosquito eggs into the larval stage.,,,
Zika,Flow,,,,,,,Model file,Certain,,Vector Pupae,RateFlow,0.0,False,Maturation of mosquito larvae into the pupal stage.,,,
Zika,Flow,,,,,,,Model file,Certain,,Susceptible Mosquitoes,RateFlow,0.0,False,Emergence of adult female mosquitoes from the pupal stage.,,,
Zika,Flow,,,,,,,Model file,Certain,,Exposed Mosquitoes,RateFlow,0.0,False,Infection of susceptible mosquitoes by biting infectious humans.,,,
Zika,Flow,,,,,,,Model file,Certain,,Vector Eggs,RateFlow,0.0,False,Oviposition (egg laying) by susceptible adult female mosquitoes.,,,
Zika,Flow,,,,,,,Model file,Certain,,Infectious Mosquitoes,RateFlow,//@parameters.3,False,Progression of exposed mosquitoes to the infectious state after the incubation period.,,,
Zika,Flow,,,,,,,Model file,Certain,,Vector Eggs,RateFlow,0.0,False,Oviposition (egg laying) by exposed adult female mosquitoes.,,,
Zika,Flow,,,,,,,Model file,Certain,,Vector Eggs,RateFlow,0.0,False,Oviposition (egg laying) by infectious adult female mosquitoes.,,,
Zika,Parameter,Number of infectious bites delivered per vector per day,,,,,,Model file,Certain,,,,,,Effective biting rate of vectors. The paper uses different values for two simulated locations.,CONSTANT,0.071 or 0.09,per day
Zika,Parameter,Human population growth rate,,,,,,Model file,Certain,,,,,,"Intrinsic growth rate for the human population, used in the logistic growth model.",CONSTANT,0.00005,per day
Zika,Parameter,Carrying capacity for human population,,,,,,Model file,Certain,,,,,,Maximum sustainable human population for the two simulated locations.,CONSTANT,"30,000,000 or 120,000",individuals
Zika,Parameter,Human incubation rate,,,,,,Model file,Certain,,,,,,"Rate at which exposed humans become infectious, corresponding to an incubation time of 3 days.",CONSTANT,0.333,per day
Zika,Parameter,Human recovery rate,,,,,,Model file,Certain,,,,,,"Rate at which infectious humans recover, corresponding to a recovery time of 7 days.",CONSTANT,0.143,per day
Zika,Parameter,Vector incubation rate,,,,,,Model file,Certain,,,,,,"Rate at which exposed vectors become infectious, corresponding to an incubation time of 10 days.",CONSTANT,0.1,per day
Zika,Parameter,Oviposition rate,,,,,,Model file,Certain,,,,,,Number of eggs laid per female mosquito per day.,CONSTANT,80,eggs per female per day
Zika,Parameter,Egg development rate,,,,,,Model file,Certain,,,,,,"Rate at which eggs develop into larvae, corresponding to a development time of 3 days.",CONSTANT,0.333,per day
Zika,Parameter,Natural egg mortality rate,,,,,,Model file,Certain,,,,,,Natural mortality rate of mosquito eggs.,CONSTANT,0.05,per day
Zika,Parameter,Larval development rate,,,,,,Model file,Certain,,,,,,"Rate at which larvae develop into pupae, corresponding to a development time of 9 days.",CONSTANT,0.111,per day
Zika,Parameter,Natural larval mortality rate,,,,,,Model file,Certain,,,,,,Natural mortality rate of mosquito larvae.,CONSTANT,0.025,per day
Zika,Parameter,Carrying capacity for larvae,,,,,,Model file,Certain,,,,,,Maximum sustainable mosquito larvae population for the two simulated locations.,CONSTANT,"100,000,000 or 5,000,000",larvae
Zika,Parameter,Density-dependent larval mortality rate,,,,,,Model file,Certain,,,,,,Additional mortality rate for larvae due to competition and limited carrying capacity.,CONSTANT,1,per day
Zika,Parameter,Pupal development rate,,,,,,Model file,Certain,,,,,,"Rate at which pupae develop into adults, corresponding to a development time of 3 days.",CONSTANT,0.333,per day
Zika,Parameter,Natural pupal mortality rate,,,,,,Model file,Certain,,,,,,Natural mortality rate of mosquito pupae.,CONSTANT,0.0025,per day
Zika,Parameter,Adult mosquito mortality rate,,,,,,Model file,Certain,,,,,,Natural mortality rate of adult mosquitoes.,CONSTANT,0.05,per day
Zika,Parameter,Female adult percentage,,,,,,Model file,Certain,,,,,,Proportion of emerging adult mosquitoes that are female.,CONSTANT,0.68,dimensionless
