Year,People living with AIDS,Untreated Infected (Women),Susceptible (Heterosexual Men),Untreated Infected (Heterosexual Men),Untreated Infected (Homosexual Men),Treated with ART,Susceptible (Homosexual Men),Susceptible (Women)
0.00,46.89,6.04,171152.19,29.10,81.08,107.32,2443.46,189971.17
1.00,41.28,9.05,169084.84,37.29,246.16,166.90,2202.54,187702.56
2.00,42.43,11.12,167044.24,42.89,344.29,265.51,1986.57,185463.11
3.00,47.16,12.53,165030.02,46.64,397.02,384.74,1792.97,183252.43
4.00,53.53,13.47,163041.85,49.10,419.37,512.30,1619.42,181070.15
5.00,60.37,14.08,161079.39,50.64,421.80,640.19,1463.84,178915.90
6.00,67.05,14.46,159142.31,51.54,411.53,763.35,1324.37,176789.33
7.00,73.19,14.67,157230.29,51.99,393.52,878.75,1199.34,174690.09
8.00,78.65,14.77,155342.99,52.11,371.15,984.72,1087.26,172617.81
9.00,83.39,14.78,153480.10,52.02,346.70,1080.52,986.79,170572.16
10.00,87.40,14.75,151641.30,51.77,321.67,1166.01,896.72,168552.78
