Model,Type,Name,SecondaryName,Population,HasStratification,NumFlows,FlowTypes,Source,Confidence,Notes,Target,FlowType,Rate,HasStratumSpecificRates,Description,Category,Values,ParameterType,Value,Unit
COVID-19,Compartment,Susceptible,,14700000,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Exposed,,5000,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Exposed,quarantined,1000,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Infectious,presymptomatic,3000,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Infectious,"presymptomatic, isolated",1000,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Infectious,mild to moderate,8000,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Infectious,severe,2000,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Infectious,"mild to moderate, isolated",4000,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Infectious,"severe, isolated",800,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Isolated,,6000,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Recovered,,50000,True,0.0,None,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Admitted to hospital,,1500,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,ICU,,400,True,2.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,Admitted to hospital,post-ICU,200,True,1.0,RateFlow,Model file,Certain,,,,,,,,,,,
COVID-19,Compartment,COVID Deaths,,100,True,0.0,None,Model file,Certain,,,,,,,,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,Exposed,RateFlow,0.00001,True,Exposure (community transmission),,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,Exposed (quarantined),RateFlow,0.000002,True,Exposure with quarantine measures,,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,Infectious (presymptomatic),RateFlow,0.4,True,Progression to presymptomatic infectious,,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,"Infectious (presymptomatic, isolated)",RateFlow,0.4,True,Progression to presymptomatic isolated,,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,Infectious (mild to moderate),RateFlow,0.85,True,Mild to moderate symptoms,,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,Infectious (severe),RateFlow,0.15,True,Severe symptoms,,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,"Infectious (mild to moderate, isolated)",RateFlow,0.85,True,Mild to moderate isolated,,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,"Infectious (severe, isolated)",RateFlow,0.15,True,Severe isolated,,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,Isolated,RateFlow,0.5,False,Detection and isolation,,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.167,False,Recovery,,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,Admitted to hospital,RateFlow,0.167,False,Hospital admission,,,,,
COVID-19,Flow,,,,,,,Model file,Certain,,Recovered,RateFlow,0.167,False,Recovery,,,,,
