cont_id,part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi
1,1,42, ,,F,1,0,0,0,0,0,1,1,4
2,1,9, ,,F,0,0,1,0,0,0,1,1,5
3,1,,40,45,F,0,0,0,0,1,0,3,1,4
4,1,8, ,,F,0,0,1,0,0,0,1,1,5
5,1,,28,30,F,0,0,1,0,0,0,2,1,3
6,1,8, ,,F,0,0,1,0,0,0,1,1,5
7,1,12, ,,F,0,0,0,0,1,0,5,1,2
8,1,8, ,,M,0,0,1,0,0,0,1,1,5
9,1,55, ,,M,1,0,0,0,0,0,1,1,4
10,1,8, ,,F,0,0,0,0,1,0,5,1,4
11,1,12, ,,F,0,0,0,0,1,0,5,2,3
12,1,8, ,,F,0,0,0,0,1,0,1,1,5
13,1,8, ,,F,0,0,1,0,0,0,1,1,4
14,1,,40,45,M,0,0,0,0,1,0,3,2,2
15,1,,50,55,F,0,0,1,0,0,0,1,2,4
16,1,8, ,,F,0,0,1,0,0,0,1,2,4
17,1,8, ,,F,0,0,1,0,0,0,1,1,5
18,1,4, ,,M,0,0,0,0,1,0,3,1,4
19,1,,40,45,F,0,0,1,0,0,0,1,1,4
20,1,8, ,,M,0,0,1,0,0,0,1,2,5
21,2,66, ,,F,0,0,0,0,0,0,,1,5
22,2,69, ,,M,0,0,0,0,0,0,,1,5
23,2,41, ,,M,1,0,0,0,0,0,1,1,5
24,2,43, ,,F,1,0,0,0,0,0,1,1,5
25,3,,30,40,M,1,0,0,0,0,0,4,2,3
26,3,53, ,,M,1,0,0,0,0,0,1,1,5
27,3,50, ,,F,1,0,0,0,0,0,1,1,5
28,3,,50,60,F,1,0,0,0,0,0,1,1,3
29,3,,30,40,M,1,0,0,0,0,0,4,2,3
30,3,,50,60,M,1,0,0,0,0,0,1,2,5
31,3,35, ,,M,1,0,0,0,0,0,1,2,3
32,3,,40,50,F,0,0,0,0,1,0,5,1,3
33,3,,30,40,M,1,0,0,0,0,0,4,2,3
34,3,52, ,,F,1,0,0,0,0,0,1,1,4
35,3,28, ,,F,1,0,0,0,0,0,1,2,3
36,3,,50,60,F,1,0,0,0,0,0,1,2,5
37,3,,50,60,M,1,0,0,0,0,0,1,2,3
38,3,,40,50,F,0,0,0,0,1,0,5,2,3
39,3,,20,30,F,0,0,0,0,1,0,4,2,3
40,4,3, ,,M,1,0,0,0,0,0,1,1,4
41,4,40, ,,F,1,0,0,0,0,0,1,1,4
42,4,60, ,,F,1,0,0,0,0,0,1,1,4
43,4,65, ,,M,1,0,0,0,0,0,1,1,4
