"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
1,101,42,42,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
1,102,9,9,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
1,103,42,40,45,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,4
1,104,8,8,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
1,105,29,28,30,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,1,3
1,106,8,8,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
1,107,12,12,NA,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,2
1,108,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
1,109,55,55,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
1,110,8,8,NA,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,1,4
1,111,12,12,NA,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,3
1,112,8,8,NA,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,5
1,113,8,8,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
1,114,42,40,45,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,2,2
1,115,52,50,55,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,4
1,116,8,8,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,4
1,117,8,8,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
1,118,4,4,NA,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,4
1,119,42,40,45,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
1,120,8,8,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,5
2,201,66,66,NA,"F",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,5
2,202,69,69,NA,"M",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,5
2,203,41,41,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
2,204,43,43,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
3,301,35,30,40,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,3
