00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
1.90,0.36,0.09,0.04,0.08,0.27,0.46,0.20,0.20,0.09,0.19,0.07,0.10,0.03,0.07
0.81,2.25,0.35,0.18,0.03,0.17,0.26,0.49,0.23,0.09,0.20,0.11,0.14,0.11,0.27
0.34,0.61,3.58,0.69,0.12,0.16,0.14,0.62,0.67,0.35,0.16,0.07,0.07,0.18,0.34
0.42,0.42,0.93,4.19,0.90,0.28,0.19,0.46,1.11,1.21,0.27,0.26,0.11,0.15,0.49
0.56,0.24,0.25,1.29,2.59,1.43,0.44,0.22,0.57,0.45,0.47,0.33,0.19,0.15,0.30
0.62,0.43,0.25,0.36,1.14,1.79,0.98,0.30,0.38,0.57,0.60,0.45,0.32,0.19,0.24
1.20,0.66,0.34,0.22,0.45,1.09,1.49,0.74,0.57,0.59,0.54,0.61,0.31,0.32,0.41
0.87,0.77,0.65,0.60,0.45,0.77,1.18,1.43,0.95,0.70,0.58,0.57,0.36,0.42,0.50
0.49,0.72,0.97,0.69,0.47,0.60,0.98,1.03,1.23,1.05,0.71,0.59,0.49,0.62,0.52
0.40,0.38,0.44,0.68,0.63,0.77,0.32,0.59,0.93,1.23,0.99,0.62,0.44,0.38,0.37
0.38,0.23,0.37,0.39,0.41,0.59,0.67,0.36,0.47,0.82,1.18,0.79,0.40,0.45,0.38
0.26,0.26,0.15,0.26,0.26,0.59,0.35,0.28,0.22,0.41,0.79,1.12,0.75,0.35,0.31
0.27,0.22,0.19,0.12,0.11,0.49,0.42,0.36,0.32,0.28,0.42,0.54,0.85,0.80,0.43
0.19,0.18,0.19,0.15,0.08,0.23,0.19,0.30,0.20,0.15,0.18,0.30,0.52,0.91,0.44
0.38,0.63,0.24,0.14,0.19,0.28,0.21,0.22,0.40,0.26,0.28,0.34,0.37,1.30,0.76
